,Unnamed: 0,Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,deltaT,deltaC
0,0,2008-1-1,47,39,30,38,22,8,76,52,27,30.33,30.22,30.08,10,10,10,30,16,41.0,T,1,,295,,
1,1,2008-1-2,30,25,20,9,5,2,52,43,33,30.69,30.52,30.33,10,10,10,28,18,36.0,T,1,,322,-17.0,0.0
2,2,2008-1-3,40,28,15,14,6,-1,73,46,19,30.79,30.73,30.69,10,10,10,16,5,22.0,0.00,1,,314,10.0,0.0
3,3,2008-1-4,47,36,25,18,10,3,60,40,19,30.73,30.65,30.53,10,10,10,10,3,12.0,0.00,3,,149,7.0,2.0
4,4,2008-1-5,55,43,31,38,26,11,71,52,33,30.51,30.42,30.33,10,10,10,14,6,17.0,0.00,6,,135,8.0,3.0
5,5,2008-1-6,67,54,41,49,43,37,82,67,52,30.38,30.32,30.26,10,10,9,13,5,24.0,0.00,3,,148,12.0,-3.0
6,6,2008-1-7,71,58,44,52,49,42,100,76,51,30.37,30.31,30.27,10,10,8,15,5,18.0,0.00,2,,157,4.0,-1.0
7,7,2008-1-8,69,61,53,58,55,51,100,84,68,30.29,30.21,30.09,10,7,0,21,10,26.0,0.00,6,,164,-2.0,4.0
8,8,2008-1-9,64,61,57,59,55,53,96,82,67,30.14,30.08,30.04,10,9,2,17,5,22.0,0.25,8,Rain-Thunderstorm,224,-5.0,2.0
9,9,2008-1-10,68,63,58,61,58,55,100,82,63,30.08,29.98,29.82,10,6,0,22,10,30.0,0.60,8,Fog-Rain-Thunderstorm,185,4.0,0.0
10,10,2008-1-11,59,51,42,56,45,35,93,70,47,29.94,29.83,29.75,10,10,6,17,9,23.0,0.31,6,Rain-Thunderstorm,257,-9.0,-2.0
11,11,2008-1-12,59,48,36,36,33,30,92,63,33,30.02,29.97,29.94,10,10,9,10,5,16.0,0.00,3,,17,0.0,-3.0
12,12,2008-1-13,59,49,38,39,34,30,85,61,36,30.08,29.99,29.93,10,9,6,18,8,23.0,0.00,2,,6,0.0,-1.0
13,13,2008-1-14,49,40,30,31,22,18,78,54,29,30.25,30.16,30.07,10,10,7,24,13,29.0,0.00,0,,292,-10.0,-2.0
14,14,2008-1-15,49,40,31,25,19,11,78,51,23,30.2,30.15,30.1,10,10,10,21,10,26.0,0.00,3,,305,0.0,3.0
15,15,2008-1-16,39,35,31,30,22,13,92,64,35,30.28,30.2,30.09,10,6,2,23,11,30.0,0.46,8,Rain-Snow,90,-10.0,5.0
16,16,2008-1-17,40,36,32,37,34,30,96,91,85,30.11,30.04,29.99,3,3,2,28,9,35.0,0.29,8,Rain,53,1.0,0.0
17,17,2008-1-18,54,46,38,39,35,22,92,69,46,30.18,30.12,30.07,10,8,5,12,7,20.0,T,6,,298,14.0,-2.0
18,18,2008-1-19,43,36,29,31,27,17,92,64,36,30.22,30.1,29.99,10,7,1,22,10,28.0,0.22,7,Rain-Snow,324,-11.0,1.0
