,Unnamed: 0,Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,deltaT,deltaC
0,0,2008-1-1,51,42,32,35,24,13,92,58,24,30.15,30.05,29.97,10,10,9,17,8,23.0,0.00,1,,288,,
1,1,2008-1-2,36,29,22,11,7,3,54,42,29,30.59,30.33,30.12,10,10,10,23,12,31.0,0.00,1,,310,-15.0,0.0
2,2,2008-1-3,36,26,16,12,8,6,61,45,29,30.79,30.72,30.59,10,10,10,12,6,15.0,0.00,0,,351,0.0,-1.0
3,3,2008-1-4,43,30,17,17,13,8,77,52,27,30.76,30.67,30.54,10,10,10,14,5,16.0,0.00,0,,195,7.0,0.0
4,4,2008-1-5,54,39,24,34,24,13,70,50,30,30.52,30.43,30.35,10,10,9,16,6,20.0,0.00,6,,188,11.0,6.0
5,5,2008-1-6,66,53,39,46,41,33,89,69,48,30.37,30.32,30.27,10,10,10,17,6,21.0,0.00,5,,192,12.0,-1.0
6,6,2008-1-7,69,55,41,51,47,41,96,73,49,30.4,30.34,30.3,10,9,6,13,5,15.0,0.00,1,,177,3.0,-4.0
7,7,2008-1-8,67,56,45,58,52,45,100,84,68,30.34,30.25,30.07,10,6,0,17,6,21.0,0.00,5,Fog,195,-2.0,4.0
8,8,2008-1-9,72,64,55,58,56,41,93,75,57,30.13,30.06,30.01,10,10,2,20,9,25.0,0.00,7,,206,5.0,2.0
9,9,2008-1-10,59,52,45,46,40,31,100,71,41,30.14,30.06,29.88,10,6,0,12,6,16.0,0.25,7,Fog-Rain,8,-13.0,0.0
10,10,2008-1-11,68,56,44,57,48,31,100,69,37,29.86,29.79,29.73,10,8,0,22,10,29.0,0.20,6,Fog-Rain,191,9.0,-1.0
11,11,2008-1-12,58,49,40,36,34,31,70,54,38,30.05,29.99,29.89,10,10,10,15,7,22.0,0.00,5,,25,-10.0,-1.0
12,12,2008-1-13,50,42,34,37,35,33,85,71,56,30.05,30.0,29.94,10,10,7,14,5,20.0,0.00,6,,27,-8.0,1.0
13,13,2008-1-14,52,40,27,34,24,14,100,64,28,30.09,30.02,29.96,10,8,1,15,6,24.0,0.00,1,,301,2.0,-5.0
14,14,2008-1-15,45,34,23,23,16,11,85,55,25,30.24,30.09,30.02,10,10,10,17,5,23.0,0.00,0,,311,-7.0,-1.0
15,15,2008-1-16,44,32,19,29,15,10,77,52,27,30.38,30.31,30.23,10,10,5,16,4,17.0,T,7,Snow,163,-1.0,7.0
16,16,2008-1-17,34,33,32,34,31,28,100,95,89,30.3,30.12,30.0,10,3,1,17,8,20.0,0.85,8,Rain-Snow,25,-10.0,1.0
17,17,2008-1-18,41,38,34,38,35,32,100,93,86,30.16,30.09,30.03,8,4,0,9,3,10.0,0.00,8,Fog,204,7.0,0.0
18,18,2008-1-19,43,38,33,39,35,30,96,83,70,30.14,30.07,30.02,10,2,1,13,5,18.0,0.27,8,Rain-Snow,16,2.0,0.0
19,19,2008-1-20,34,27,20,32,10,0,96,61,26,30.64,30.36,30.04,10,9,2,15,4,21.0,0.00,1,,328,-9.0,-7.0
20,20,2008-1-21,38,27,16,5,0,-6,56,36,16,30.82,30.71,30.63,10,10,10,10,3,16.0,0.00,2,,91,4.0,1.0
21,21,2008-1-22,38,34,30,36,21,4,92,62,31,30.61,30.32,30.09,10,7,0,9,4,12.0,0.09,8,Rain,201,0.0,6.0
22,22,2008-1-23,45,40,34,39,36,34,100,88,76,30.13,30.08,30.04,10,2,0,10,3,13.0,0.01,6,Fog,205,7.0,-2.0
23,23,2008-1-24,50,39,27,37,28,7,100,67,33,30.34,30.05,29.93,10,6,0,20,9,28.0,0.00,4,Fog,292,5.0,-2.0
24,24,2008-1-25,38,27,15,17,6,2,58,42,25,30.57,30.46,30.37,10,10,10,21,6,26.0,0.00,3,,36,-12.0,-1.0
25,25,2008-1-26,48,40,32,32,23,16,89,65,41,30.37,30.2,30.05,10,10,9,13,5,16.0,0.00,5,,188,10.0,2.0
26,26,2008-1-27,55,39,22,29,23,16,92,57,22,30.17,30.11,30.05,10,9,7,15,6,20.0,0.00,0,,323,7.0,-5.0
27,27,2008-1-28,57,41,24,29,24,21,81,53,24,30.26,30.17,30.06,10,10,9,10,5,13.0,0.00,3,,239,2.0,3.0
28,28,2008-1-29,64,55,46,41,28,23,49,35,20,30.03,29.89,29.69,10,10,8,23,12,26.0,0.02,8,Rain,195,7.0,5.0
29,29,2008-1-30,56,44,32,53,25,4,93,54,15,30.24,29.92,29.63,10,10,3,23,9,30.0,0.05,3,Rain,296,-8.0,-5.0
30,30,2008-1-31,51,41,31,34,13,5,49,35,21,30.47,30.34,30.18,10,10,4,15,10,21.0,0.10,5,Rain,46,-5.0,2.0
31,31,2008-2-1,53,45,36,41,36,32,96,75,54,30.21,30.06,29.92,10,5,2,21,8,29.0,1.21,6,Rain,308,2.0,1.0
32,32,2008-2-2,58,43,28,36,32,28,100,70,40,30.32,30.22,30.18,10,10,7,12,3,13.0,0.00,3,,188,5.0,-3.0
33,33,2008-2-3,65,49,33,41,32,25,89,56,23,30.29,30.22,30.16,10,10,10,13,4,16.0,T,6,,147,7.0,3.0
34,34,2008-2-4,57,50,43,45,43,41,93,77,61,30.25,30.21,30.17,10,9,7,7,3,10.0,T,7,,286,-8.0,1.0
35,35,2008-2-5,74,59,44,58,52,43,100,79,57,30.2,30.11,29.96,10,6,0,18,7,25.0,0.00,6,Fog,194,17.0,-1.0
36,36,2008-2-6,69,62,54,59,55,33,93,72,51,29.95,29.81,29.67,10,10,7,28,14,35.0,0.02,6,Rain,202,-5.0,0.0
37,37,2008-2-7,61,51,40,36,32,29,70,51,32,29.94,29.86,29.76,10,10,8,14,6,22.0,0.00,0,,217,-8.0,-6.0
38,38,2008-2-8,60,46,32,32,30,27,89,60,30,30.02,29.95,29.85,10,10,10,13,6,15.0,0.00,0,,207,-1.0,0.0
39,39,2008-2-9,67,52,36,35,29,14,82,52,22,30.06,29.95,29.84,10,10,5,21,8,31.0,0.00,2,,217,7.0,2.0
40,40,2008-2-10,65,53,40,22,20,14,39,29,19,30.18,30.09,30.04,10,10,10,29,10,45.0,0.00,0,,266,-2.0,-2.0
41,41,2008-2-11,52,40,28,19,9,2,33,27,20,30.38,30.28,30.19,10,10,10,13,7,18.0,0.00,0,,103,-13.0,0.0
42,42,2008-2-12,50,44,37,43,35,23,96,68,39,30.26,30.1,29.83,10,8,2,12,6,14.0,0.09,7,Rain,37,-2.0,7.0
43,43,2008-2-13,53,43,33,49,40,27,93,88,82,29.91,29.67,29.56,10,4,0,24,7,29.0,0.41,8,Fog-Rain-Thunderstorm,335,3.0,1.0
