,Unnamed: 0,Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,deltaT,deltaC
0,0,2008-1-1,37,26,15,27,17,9,81,74,67,30.3,30.14,29.86,10,5,1,30,17,40.0,0.02,8,Snow,265,,
1,1,2008-1-2,16,11,6,10,5,1,88,77,66,30.76,30.48,30.27,10,4,1,26,15,35.0,0.04,7,Snow,281,-21.0,-1.0
2,2,2008-1-3,23,18,13,14,11,9,92,79,65,30.85,30.75,30.61,10,7,1,13,7,15.0,T,4,Snow,200,7.0,-3.0
3,3,2008-1-4,40,28,16,15,13,11,74,53,32,30.6,30.47,30.3,10,10,10,18,10,25.0,0.00,4,,193,17.0,0.0
4,4,2008-1-5,44,38,32,44,34,14,100,70,40,30.27,30.17,30.09,10,6,2,20,11,28.0,0.09,8,Rain,191,4.0,4.0
5,5,2008-1-6,60,52,44,54,49,44,100,86,72,30.09,30.05,29.99,10,9,5,20,13,30.0,0.02,8,Rain,195,16.0,0.0
6,6,2008-1-7,67,63,58,55,53,50,80,69,58,30.14,30.08,30.03,10,10,10,23,13,32.0,0.00,6,,198,7.0,-2.0
7,7,2008-1-8,67,60,52,57,51,49,100,79,58,30.02,29.82,29.57,10,9,3,36,18,48.0,0.47,7,Rain,192,0.0,1.0
8,8,2008-1-9,53,44,34,48,35,30,82,66,49,30.2,30.07,29.71,10,10,10,36,9,48.0,T,7,Rain,248,-14.0,0.0
9,9,2008-1-10,56,45,34,52,41,30,100,85,70,30.11,29.76,29.49,10,7,2,29,11,38.0,0.76,7,Rain-Thunderstorm,128,3.0,0.0
10,10,2008-1-11,48,39,30,41,33,28,85,78,70,29.97,29.77,29.53,10,9,7,28,9,35.0,0.00,7,,252,-8.0,0.0
11,11,2008-1-12,46,37,28,32,30,28,100,79,57,30.1,30.04,29.96,10,7,3,9,1,15.0,0.00,5,,126,-2.0,-2.0
12,12,2008-1-13,38,34,29,37,31,25,100,88,76,30.05,29.97,29.9,10,5,1,22,7,26.0,0.11,8,Rain-Snow,257,-8.0,3.0
13,13,2008-1-14,30,27,23,25,22,15,96,80,63,30.12,30.07,30.03,10,5,1,20,11,24.0,0.04,8,Snow,257,-8.0,0.0
14,14,2008-1-15,27,21,14,19,15,9,92,77,62,30.27,30.14,30.05,10,8,0,16,8,23.0,0.05,4,Fog-Snow,279,-3.0,-4.0
15,15,2008-1-16,35,26,17,21,18,14,92,72,52,30.33,30.25,30.19,10,9,7,15,7,20.0,0.00,5,,133,8.0,1.0
