,Unnamed: 0,Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,deltaT,deltaC
0,0,2008-1-1,54,45,36,37,27,16,76,52,28,30.04,29.9,29.81,10,10,10,26,13,36.0,0.00,3,,238,,
1,1,2008-1-2,38,32,25,17,10,3,58,43,28,30.5,30.13,29.93,10,10,8,32,18,40.0,T,4,Snow,313,-16.0,1.0
2,2,2008-1-3,34,28,22,10,7,2,54,43,32,30.75,30.67,30.52,10,10,10,22,11,30.0,0.00,2,,320,-4.0,-2.0
3,3,2008-1-4,41,31,21,22,14,8,74,52,30,30.71,30.6,30.45,10,10,10,14,6,16.0,0.00,2,,195,7.0,0.0
4,4,2008-1-5,43,36,28,30,21,15,69,54,38,30.45,30.36,30.27,10,10,10,12,4,13.0,T,6,Rain,189,2.0,4.0
5,5,2008-1-6,55,47,38,42,38,30,85,74,62,30.29,30.25,30.21,10,9,5,12,3,13.0,0.20,6,Rain,180,12.0,0.0
6,6,2008-1-7,69,58,46,48,45,42,82,65,47,30.3,30.24,30.2,10,10,10,13,8,15.0,0.00,6,,182,14.0,0.0
7,7,2008-1-8,73,61,48,52,49,44,86,65,44,30.22,30.12,29.96,10,10,10,25,11,31.0,0.00,5,,193,4.0,-1.0
8,8,2008-1-9,68,58,47,55,40,23,86,56,26,30.19,29.99,29.83,10,10,10,24,12,33.0,0.00,6,,268,-5.0,1.0
9,9,2008-1-10,52,46,40,39,34,28,79,59,39,30.24,30.12,29.94,10,9,3,13,4,14.0,0.18,8,Rain,130,-16.0,2.0
10,10,2008-1-11,59,51,43,52,44,33,93,72,50,29.93,29.76,29.67,10,5,0,20,5,25.0,0.15,7,Fog-Rain,11,7.0,-1.0
11,11,2008-1-12,54,48,42,35,31,28,70,54,38,30.17,30.08,29.94,10,10,10,14,7,16.0,0.00,6,,355,-5.0,-1.0
12,12,2008-1-13,49,43,36,38,34,29,82,69,56,30.17,30.06,29.94,10,9,7,14,7,17.0,0.03,6,Rain,50,-5.0,0.0
13,13,2008-1-14,47,41,35,37,28,16,85,60,34,30.01,29.93,29.88,10,9,5,24,8,29.0,T,7,Rain,299,-2.0,1.0
14,14,2008-1-15,40,35,30,20,16,12,63,49,35,30.15,30.0,29.93,10,10,9,26,9,32.0,T,3,Snow,276,-7.0,-4.0
15,15,2008-1-16,44,38,32,25,20,17,59,48,36,30.4,30.32,30.16,10,10,10,20,8,28.0,0.00,5,,314,4.0,2.0
16,16,2008-1-17,39,37,34,32,30,22,89,71,52,30.38,30.18,29.98,10,4,0,13,6,16.0,0.75,8,Rain-Snow,57,-5.0,3.0
17,17,2008-1-18,49,41,33,37,30,20,89,67,44,30.12,30.0,29.91,10,8,2,12,7,15.0,T,6,,269,10.0,-2.0
18,18,2008-1-19,42,39,36,28,21,15,75,55,34,30.19,30.08,29.97,10,10,9,12,7,15.0,T,8,Snow,298,-7.0,2.0
19,19,2008-1-20,37,28,19,18,0,-7,69,47,25,30.65,30.33,29.95,10,10,10,26,15,35.0,0.00,2,,310,-5.0,-6.0
20,20,2008-1-21,32,25,18,8,-2,-6,42,31,20,30.86,30.75,30.64,10,10,10,14,7,18.0,0.00,1,,260,-5.0,-1.0
21,21,2008-1-22,42,34,26,33,21,9,76,57,38,30.61,30.25,29.98,10,10,10,18,11,22.0,T,7,Rain,200,10.0,6.0
22,22,2008-1-23,48,39,30,31,16,5,82,50,17,30.11,30.06,29.98,10,10,10,28,9,32.0,0.00,3,,343,6.0,-4.0
23,23,2008-1-24,43,36,28,20,15,10,63,46,29,30.32,30.09,29.96,10,10,10,28,10,33.0,0.00,5,,4,-5.0,2.0
24,24,2008-1-25,36,29,22,10,6,3,52,39,25,30.54,30.43,30.33,10,10,10,24,10,30.0,0.00,1,,296,-7.0,-4.0
25,25,2008-1-26,40,35,29,17,12,2,53,41,28,30.34,30.23,30.1,10,10,10,12,5,15.0,0.00,8,,67,4.0,7.0
26,26,2008-1-27,45,38,30,25,20,16,59,48,36,30.18,30.11,30.07,10,10,10,21,8,25.0,0.00,5,,346,5.0,-3.0
27,27,2008-1-28,47,40,33,27,24,21,69,53,37,30.22,30.14,30.05,10,10,9,15,7,20.0,0.00,5,,322,2.0,0.0
28,28,2008-1-29,54,44,33,36,32,25,79,65,50,30.03,29.82,29.6,10,9,6,13,4,20.0,0.05,7,Rain,175,7.0,2.0
29,29,2008-1-30,56,46,36,44,17,1,74,45,15,30.31,29.87,29.47,10,10,9,30,15,39.0,0.01,3,Rain,282,2.0,-4.0
30,30,2008-1-31,45,37,28,19,7,1,40,29,18,30.61,30.51,30.34,10,10,10,17,8,22.0,0.00,4,,30,-11.0,1.0
31,31,2008-2-1,47,41,35,45,36,22,93,71,48,30.47,30.0,29.75,10,5,0,20,8,24.0,2.05,8,Fog-Rain,360,2.0,4.0
32,32,2008-2-2,51,42,32,33,31,28,82,63,44,30.3,30.21,30.06,10,10,10,13,4,16.0,0.00,2,,195,4.0,-6.0
33,33,2008-2-3,57,45,32,36,33,28,89,68,46,30.29,30.23,30.17,10,9,6,10,4,12.0,0.00,5,,82,6.0,3.0
34,34,2008-2-4,55,48,40,41,38,33,82,71,59,30.27,30.21,30.14,10,9,6,10,4,12.0,0.01,7,Rain,62,-2.0,2.0
35,35,2008-2-5,65,53,41,54,44,37,93,80,67,30.13,29.98,29.82,10,5,0,28,5,36.0,T,7,Fog,179,10.0,0.0
36,36,2008-2-6,74,65,55,57,54,49,83,66,49,29.8,29.59,29.41,10,10,2,28,15,32.0,0.14,8,Rain-Thunderstorm,208,9.0,1.0
37,37,2008-2-7,64,52,40,48,30,25,55,46,36,29.99,29.81,29.5,10,10,10,28,12,35.0,0.01,4,,320,-10.0,-4.0
38,38,2008-2-8,53,45,36,32,29,27,76,59,41,30.08,30.0,29.95,10,10,10,13,4,17.0,0.00,4,,33,-11.0,0.0
39,39,2008-2-9,59,49,39,40,33,20,76,59,41,30.08,29.93,29.79,10,10,9,15,6,22.0,0.00,6,,167,6.0,2.0
40,40,2008-2-10,51,37,22,34,15,-11,70,43,16,30.24,29.9,29.73,10,10,9,38,15,52.0,T,3,Rain,278,-8.0,-3.0
41,41,2008-2-11,32,24,16,2,-4,-7,42,31,20,30.45,30.38,30.25,10,10,10,22,10,29.0,0.00,2,,322,-19.0,-1.0
42,42,2008-2-12,33,29,25,29,18,2,85,58,31,30.46,30.27,29.98,10,8,4,16,9,26.0,0.18,8,Rain-Snow,54,1.0,6.0
43,43,2008-2-13,64,52,40,36,31,20,55,46,36,29.91,29.68,29.55,10,5,1,28,12,35.0,0.00,8,Rain,331,31.0,0.0
44,44,2008-2-14,44,36,28,28,19,14,75,57,39,30.24,30.14,29.85,10,10,10,28,11,36.0,0.00,2,,319,-20.0,-6.0
45,45,2008-2-15,58,46,34,32,29,26,75,53,30,30.22,30.14,30.08,10,10,10,24,9,28.0,0.00,6,,193,14.0,4.0
46,46,2008-2-16,47,40,32,27,21,17,59,47,34,30.39,30.32,30.23,10,10,10,21,8,29.0,0.00,2,,63,-11.0,-4.0
47,47,2008-2-17,53,43,33,47,37,24,93,75,56,30.31,30.04,29.72,10,9,2,14,5,18.0,T,8,,176,6.0,6.0
48,48,2008-2-18,74,59,43,58,47,23,87,63,38,29.84,29.61,29.5,10,10,4,28,14,36.0,0.22,6,Rain,233,21.0,-2.0
49,49,2008-2-19,50,40,30,25,15,8,55,37,19,30.07,29.94,29.84,10,10,10,31,13,43.0,0.00,3,,274,-24.0,-3.0
50,50,2008-2-20,36,32,27,28,20,10,78,58,38,30.32,30.12,30.04,10,7,0,25,7,30.0,0.02,6,Snow,50,-14.0,3.0
51,51,2008-2-21,35,28,21,20,9,1,69,46,23,30.52,30.41,30.3,10,9,2,21,8,24.0,T,5,Snow,77,-1.0,-1.0
52,52,2008-2-22,36,33,29,34,30,15,96,80,63,30.27,30.04,29.83,10,5,2,12,5,14.0,0.29,8,Rain-Snow,111,1.0,3.0
53,53,2008-2-23,41,38,35,36,32,23,92,78,64,30.18,29.96,29.86,10,6,4,17,7,21.0,0.00,7,,344,5.0,-1.0
54,54,2008-2-24,44,37,29,33,22,16,73,53,33,30.28,30.17,30.04,10,10,10,13,6,16.0,T,4,,203,3.0,-3.0
55,55,2008-2-25,51,45,38,35,31,28,76,61,46,30.04,29.98,29.91,10,10,7,14,5,16.0,0.00,6,,231,7.0,2.0
56,56,2008-2-26,54,47,40,47,43,34,89,80,71,29.89,29.52,29.33,10,5,2,22,7,31.0,0.09,8,Rain,214,3.0,2.0
57,57,2008-2-27,47,38,28,28,19,6,60,49,37,29.98,29.69,29.46,10,10,10,25,16,33.0,0.00,4,,306,-7.0,-4.0
