,Unnamed: 0,Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,deltaT,deltaC
0,0,2008-1-1,48,38,28,43,31,20,89,64,39,30.14,29.85,29.7,10,8,2,24,14,32.0,0.17,6,Rain,223,,
1,1,2008-1-2,38,28,18,22,10,-1,56,47,38,30.35,29.94,29.69,10,10,8,33,20,41.0,T,4,Snow,324,-10.0,-2.0
2,2,2008-1-3,22,18,14,3,-3,-9,54,41,28,30.7,30.58,30.36,10,10,10,30,15,38.0,0.00,1,,334,-16.0,-3.0
3,3,2008-1-4,38,26,14,15,7,0,61,44,27,30.66,30.53,30.43,10,10,10,22,10,25.0,0.00,5,,249,16.0,4.0
4,4,2008-1-5,42,34,25,30,20,14,75,56,36,30.41,30.34,30.25,10,10,9,12,6,14.0,0.03,5,Rain,230,4.0,0.0
5,5,2008-1-6,47,40,33,37,33,29,89,75,60,30.26,30.23,30.19,10,8,5,10,5,12.0,T,7,,207,5.0,2.0
6,6,2008-1-7,63,52,41,45,41,36,82,67,51,30.25,30.21,30.16,10,9,6,14,6,20.0,0.00,6,,219,16.0,-1.0
7,7,2008-1-8,65,56,46,50,47,42,86,71,56,30.19,30.1,29.94,10,9,6,17,9,20.0,0.00,6,,224,2.0,0.0
8,8,2008-1-9,66,56,45,55,39,24,83,55,26,30.08,29.89,29.76,10,10,9,39,16,48.0,0.01,5,Rain,243,1.0,-1.0
9,9,2008-1-10,52,44,35,32,24,18,59,43,26,30.21,30.14,30.04,10,10,10,13,6,16.0,T,6,Rain,241,-14.0,1.0
10,10,2008-1-11,53,47,41,50,41,34,93,78,62,30.0,29.77,29.58,10,6,0,23,7,29.0,0.77,7,Rain-Thunderstorm,36,1.0,1.0
11,11,2008-1-12,50,44,37,35,28,24,71,55,39,30.17,30.03,29.85,10,10,10,17,9,22.0,0.00,6,,318,-3.0,-1.0
12,12,2008-1-13,46,38,30,35,28,24,85,64,42,30.21,30.11,29.95,10,10,4,16,10,22.0,0.31,6,Rain,56,-4.0,0.0
13,13,2008-1-14,40,37,33,32,31,30,89,80,70,29.92,29.85,29.81,10,9,2,16,10,21.0,0.15,8,Rain-Snow,355,-6.0,2.0
14,14,2008-1-15,41,37,32,31,25,20,89,71,52,29.95,29.84,29.77,10,10,10,26,12,31.0,T,6,,288,1.0,-2.0
15,15,2008-1-16,42,35,27,18,16,14,63,48,33,30.38,30.23,29.98,10,10,10,21,12,24.0,0.00,2,,336,1.0,-4.0
16,16,2008-1-17,40,34,27,34,26,15,89,68,47,30.39,30.23,29.98,10,7,2,13,7,16.0,0.34,7,Rain-Snow,91,-2.0,5.0
17,17,2008-1-18,49,42,35,36,29,12,92,63,33,30.07,29.9,29.78,10,7,2,24,12,29.0,0.40,5,Rain,311,9.0,-2.0
18,18,2008-1-19,37,34,30,19,14,10,56,46,35,30.14,30.04,29.9,10,10,10,15,9,21.0,0.00,6,,264,-12.0,1.0
19,19,2008-1-20,34,26,17,17,1,-7,53,39,25,30.51,30.16,29.86,10,10,10,24,18,31.0,0.00,3,,308,-3.0,-3.0
20,20,2008-1-21,28,21,14,3,-1,-3,50,40,29,30.75,30.67,30.53,10,10,10,21,12,25.0,0.00,0,,268,-6.0,-3.0
21,21,2008-1-22,40,29,18,29,17,3,75,57,39,30.62,30.2,29.92,10,10,7,22,10,26.0,T,6,,221,12.0,6.0
22,22,2008-1-23,42,35,28,28,11,0,82,51,19,30.07,30.0,29.91,10,10,10,23,11,28.0,0.00,1,,287,2.0,-5.0
23,23,2008-1-24,35,29,23,15,8,3,49,40,30,30.19,30.05,29.96,10,10,10,23,9,30.0,0.00,5,,322,-7.0,4.0
24,24,2008-1-25,35,27,19,7,5,1,56,42,28,30.38,30.29,30.2,10,10,10,21,13,26.0,0.00,1,,284,0.0,-4.0
25,25,2008-1-26,32,28,23,14,6,1,47,39,30,30.32,30.25,30.13,10,10,10,13,4,15.0,0.00,7,,271,-3.0,6.0
26,26,2008-1-27,40,35,29,21,19,14,69,57,44,30.1,30.07,30.01,10,10,9,18,11,21.0,0.00,5,,13,8.0,-2.0
27,27,2008-1-28,44,36,27,18,16,15,63,48,33,30.1,30.04,29.99,10,10,9,20,11,24.0,0.00,0,,330,4.0,-5.0
28,28,2008-1-29,41,34,26,35,26,18,79,65,51,29.95,29.84,29.66,10,8,5,10,4,12.0,0.02,7,Rain,241,-3.0,7.0
29,29,2008-1-30,49,41,32,43,22,3,82,51,19,30.21,29.73,29.45,10,9,3,41,16,52.0,0.10,4,Rain,253,8.0,-3.0
30,30,2008-1-31,40,33,26,13,5,2,43,33,22,30.62,30.51,30.26,10,10,10,16,8,21.0,0.00,3,,351,-9.0,-1.0
31,31,2008-2-1,45,39,32,43,32,12,93,66,38,30.55,30.05,29.67,10,6,0,26,12,33.0,1.81,7,Rain,53,5.0,4.0
32,32,2008-2-2,46,39,32,34,28,25,75,64,53,30.22,30.11,29.85,10,10,10,26,15,35.0,T,4,Rain-Tornado,266,1.0,-3.0
33,33,2008-2-3,52,41,29,29,27,24,85,63,41,30.3,30.22,30.18,10,10,9,15,4,18.0,0.00,3,,291,6.0,-1.0
34,34,2008-2-4,40,37,34,36,31,27,85,73,60,30.38,30.31,30.22,10,6,1,12,7,13.0,0.03,8,Rain-Snow,53,-12.0,5.0
35,35,2008-2-5,52,46,40,46,43,36,93,87,80,30.21,29.95,29.81,9,4,1,16,7,20.0,0.01,8,Rain,250,12.0,0.0
36,36,2008-2-6,69,57,44,56,48,39,93,75,57,29.81,29.57,29.41,10,7,3,29,9,36.0,0.06,8,Rain,30,17.0,0.0
37,37,2008-2-7,51,45,39,41,32,24,82,60,38,29.97,29.72,29.41,10,9,4,28,11,32.0,0.04,6,Rain,338,-18.0,-2.0
38,38,2008-2-8,48,41,33,26,24,20,64,51,38,30.05,29.98,29.91,10,10,10,16,9,21.0,0.00,5,,334,-3.0,-1.0
39,39,2008-2-9,44,40,35,38,32,25,85,72,59,30.07,29.95,29.81,10,8,5,22,4,28.0,0.12,7,Rain-Thunderstorm,163,-4.0,2.0
40,40,2008-2-10,46,31,15,35,19,-10,96,60,23,30.06,29.74,29.6,10,7,0,41,18,49.0,T,5,Snow,275,2.0,-2.0
41,41,2008-2-11,26,18,10,1,-7,-14,43,35,27,30.39,30.26,30.09,10,10,10,32,17,41.0,0.00,1,,296,-20.0,-4.0
42,42,2008-2-12,33,25,17,29,15,1,88,66,43,30.48,30.33,30.08,10,4,0,13,6,15.0,0.60,7,Fog-Rain-Snow,88,7.0,6.0
43,43,2008-2-13,48,40,32,40,35,27,93,85,76,30.01,29.63,29.42,10,4,0,22,11,25.0,1.78,8,Fog-Rain,15,15.0,1.0
44,44,2008-2-14,42,36,29,23,17,13,69,52,34,30.2,30.0,29.66,10,10,10,25,14,31.0,0.00,4,,310,-6.0,-4.0
45,45,2008-2-15,49,39,29,27,24,14,69,56,42,30.22,30.11,30.01,10,10,10,26,13,32.0,0.00,6,,265,7.0,2.0
46,46,2008-2-16,36,30,23,15,8,4,55,41,27,30.37,30.32,30.23,10,10,10,22,9,25.0,0.00,2,,313,-13.0,-4.0
47,47,2008-2-17,56,41,26,52,32,16,93,70,47,30.34,30.12,29.78,10,8,2,16,6,22.0,0.19,6,Rain,168,20.0,4.0
48,48,2008-2-18,68,54,39,57,50,24,86,71,55,29.75,29.57,29.42,10,9,2,31,16,40.0,0.22,7,Rain,226,12.0,1.0
49,49,2008-2-19,44,36,28,24,16,6,69,48,27,30.01,29.84,29.74,10,10,10,36,17,43.0,0.00,2,,266,-24.0,-5.0
50,50,2008-2-20,36,30,23,14,5,-1,53,39,24,30.21,30.1,30.02,10,10,9,25,13,30.0,0.00,4,,287,-8.0,2.0
51,51,2008-2-21,35,28,20,6,3,-1,51,38,24,30.44,30.36,30.25,10,10,10,20,11,23.0,0.00,2,,306,-1.0,-2.0
52,52,2008-2-22,34,29,24,31,27,8,92,64,36,30.33,30.04,29.81,10,3,0,21,8,24.0,0.71,8,Fog-Rain-Snow,52,-1.0,6.0
53,53,2008-2-23,35,31,26,27,26,16,85,71,56,30.1,29.95,29.86,10,7,2,17,9,22.0,T,7,Rain-Snow,13,1.0,-1.0
54,54,2008-2-24,38,30,22,19,17,13,63,54,44,30.2,30.11,30.02,10,10,10,17,8,22.0,0.00,1,,289,3.0,-6.0
55,55,2008-2-25,48,37,25,21,19,14,74,50,26,30.0,29.92,29.86,10,10,7,16,7,20.0,0.00,3,,255,10.0,2.0
