,Unnamed: 0,Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,deltaT,deltaC
0,0,2008-1-1,82,75,68,70,66,53,90,76,61,30.16,30.11,30.06,10,7,2,21,6,24.0,0.36,5,Rain,18,,
1,1,2008-1-2,68,56,43,49,24,14,62,41,20,30.44,30.31,30.17,10,10,10,26,18,33.0,0.00,0,,329,-14.0,-5.0
2,2,2008-1-3,62,51,39,46,34,15,66,50,34,30.5,30.45,30.4,10,10,10,24,15,30.0,T,5,Rain,328,-6.0,5.0
3,3,2008-1-4,71,62,53,53,49,43,77,61,44,30.5,30.43,30.37,10,10,9,21,13,25.0,T,6,Rain,40,9.0,1.0
4,4,2008-1-5,73,68,62,64,59,56,84,71,57,30.35,30.3,30.26,10,9,3,22,11,26.0,0.44,7,Rain,79,2.0,1.0
5,5,2008-1-6,77,73,68,61,58,56,66,60,54,30.29,30.24,30.19,10,10,10,14,9,17.0,0.00,2,,72,4.0,-5.0
6,6,2008-1-7,81,76,71,63,61,59,64,59,54,30.27,30.23,30.19,10,10,10,21,13,24.0,T,6,Rain,96,4.0,4.0
7,7,2008-1-8,79,74,69,61,57,54,70,57,43,30.24,30.19,30.14,10,10,10,18,10,23.0,T,3,,99,-2.0,-3.0
8,8,2008-1-9,79,72,65,64,61,58,81,70,58,30.17,30.11,30.06,10,10,10,14,7,17.0,0.03,3,,105,0.0,0.0
9,9,2008-1-10,80,75,70,63,61,57,73,64,54,30.12,30.05,30.0,10,10,10,16,10,20.0,0.00,2,,122,1.0,-1.0
10,10,2008-1-11,80,75,69,66,62,59,79,67,54,30.02,29.97,29.92,10,10,10,18,9,23.0,0.00,4,,164,0.0,2.0
11,11,2008-1-12,82,76,69,67,65,61,84,70,55,30.01,29.96,29.92,10,10,10,15,6,17.0,T,3,,174,2.0,-1.0
12,12,2008-1-13,81,74,67,68,66,64,90,74,58,30.03,29.98,29.94,10,9,1,16,6,20.0,1.06,4,Rain-Thunderstorm,190,-1.0,1.0
13,13,2008-1-14,77,70,62,67,59,44,90,67,43,30.13,30.06,30.0,10,7,0,16,10,18.0,0.00,4,Fog,324,-4.0,0.0
14,14,2008-1-15,73,65,56,55,50,44,68,56,44,30.15,30.1,30.05,10,10,10,16,9,18.0,0.00,1,,356,-4.0,-3.0
15,15,2008-1-16,75,68,60,61,55,52,72,61,49,30.13,30.06,30.0,10,10,10,22,14,26.0,T,5,,93,2.0,4.0
16,16,2008-1-17,80,77,73,68,65,61,79,72,64,30.07,30.0,29.95,10,10,9,25,12,30.0,T,5,,166,5.0,0.0
17,17,2008-1-18,83,78,72,69,68,66,90,76,62,30.11,30.05,30.02,10,10,10,14,7,16.0,0.00,1,,172,3.0,-4.0
18,18,2008-1-19,83,77,71,69,67,65,84,71,58,30.04,29.98,29.9,10,10,10,21,9,28.0,0.00,1,,177,0.0,0.0
19,19,2008-1-20,75,67,59,70,57,52,84,70,55,30.3,30.14,29.96,10,10,3,26,16,32.0,0.07,7,Rain,349,-8.0,6.0
20,20,2008-1-21,75,71,66,61,58,54,68,61,53,30.35,30.29,30.26,10,10,10,25,20,33.0,T,7,,69,0.0,0.0
21,21,2008-1-22,78,75,71,69,65,61,90,76,62,30.25,30.17,30.09,10,9,1,24,14,30.0,0.88,7,Rain,97,3.0,0.0
22,22,2008-1-23,79,75,70,68,67,63,90,75,60,30.09,30.04,29.99,10,9,3,13,6,14.0,0.26,5,Rain,169,1.0,-2.0
23,23,2008-1-24,82,74,66,66,64,60,93,72,51,30.12,30.03,29.99,10,5,0,17,6,21.0,T,2,Fog,292,3.0,-3.0
24,24,2008-1-25,74,69,64,62,54,48,81,64,47,30.25,30.2,30.11,10,10,8,22,14,26.0,0.00,4,,25,-8.0,2.0
25,25,2008-1-26,76,71,65,57,55,51,68,57,46,30.21,30.16,30.11,10,10,10,14,8,17.0,0.00,2,,116,2.0,-2.0
26,26,2008-1-27,77,68,58,64,55,34,78,56,34,30.14,30.06,30.01,10,10,8,23,10,26.0,T,3,Rain,299,1.0,1.0
27,27,2008-1-28,73,63,53,51,41,28,63,41,19,30.19,30.13,30.08,10,10,8,16,10,18.0,0.00,1,,355,-4.0,-2.0
28,28,2008-1-29,75,68,60,53,50,46,64,53,41,30.16,30.09,30.04,10,10,10,16,7,18.0,T,5,Rain,204,2.0,4.0
29,29,2008-1-30,80,71,62,60,55,50,68,52,36,30.14,30.08,30.03,10,10,9,17,5,21.0,T,3,Rain,192,5.0,-2.0
30,30,2008-1-31,79,72,64,58,55,51,78,59,39,30.2,30.15,30.09,10,10,10,18,9,22.0,T,3,Rain,129,-1.0,0.0
31,31,2008-2-1,80,75,70,61,58,54,64,55,45,30.22,30.15,30.11,10,10,10,17,9,22.0,T,2,,157,1.0,-1.0
32,32,2008-2-2,79,75,71,64,62,58,79,67,54,30.25,30.19,30.15,10,10,8,13,7,16.0,0.00,5,,96,-1.0,3.0
33,33,2008-2-3,80,74,68,65,63,60,78,66,54,30.23,30.18,30.14,10,10,10,14,6,18.0,0.00,2,,116,1.0,-3.0
34,34,2008-2-4,81,77,72,66,65,64,79,69,58,30.24,30.19,30.15,10,10,10,15,9,18.0,0.00,1,,118,1.0,-1.0
35,35,2008-2-5,81,77,73,68,65,62,79,69,58,30.22,30.16,30.1,10,10,7,17,11,23.0,T,3,Rain,130,0.0,2.0
36,36,2008-2-6,83,78,73,67,66,64,79,67,55,30.12,30.07,30.03,10,10,10,22,12,28.0,0.00,4,,160,2.0,1.0
37,37,2008-2-7,85,77,68,67,66,59,87,65,43,30.08,30.03,29.98,10,10,9,18,8,22.0,0.00,1,,182,2.0,-3.0
38,38,2008-2-8,83,77,70,68,65,63,84,70,55,30.06,30.02,29.98,10,10,7,17,8,22.0,0.01,3,Rain,190,-2.0,2.0
39,39,2008-2-9,82,75,68,68,66,63,90,74,58,30.12,30.06,30.01,10,10,6,14,4,18.0,0.24,5,Rain-Thunderstorm,198,-1.0,2.0
40,40,2008-2-10,82,76,69,66,58,49,84,63,42,30.22,30.15,30.08,10,10,7,23,14,26.0,0.00,4,,17,0.0,-1.0
41,41,2008-2-11,78,69,60,54,50,47,67,53,38,30.24,30.19,30.15,10,10,10,22,14,29.0,0.00,2,,51,-4.0,-2.0
42,42,2008-2-12,79,75,70,70,64,55,87,68,49,30.13,30.0,29.86,10,9,2,24,17,29.0,0.52,6,Rain-Thunderstorm,136,1.0,4.0
43,43,2008-2-13,76,71,66,70,65,57,84,79,73,30.04,29.89,29.8,10,7,0,24,10,32.0,1.90,6,Rain-Thunderstorm,250,-3.0,0.0
44,44,2008-2-14,75,66,57,57,49,34,80,53,26,30.24,30.16,30.04,10,10,10,15,9,18.0,0.00,2,,12,-1.0,-4.0
45,45,2008-2-15,80,72,63,62,58,53,78,62,45,30.25,30.19,30.15,10,10,9,15,7,17.0,T,3,,60,5.0,1.0
46,46,2008-2-16,80,74,68,63,62,60,78,66,54,30.15,30.1,30.04,10,10,10,16,10,21.0,0.00,3,,61,0.0,0.0
47,47,2008-2-17,81,76,71,70,66,63,90,74,58,30.06,30.0,29.97,10,8,1,18,10,22.0,0.33,4,Rain,146,1.0,1.0
48,48,2008-2-18,86,79,72,70,66,60,79,62,44,30.07,30.0,29.94,10,10,5,16,9,22.0,0.17,4,Rain,196,5.0,0.0
49,49,2008-2-19,75,70,65,68,59,49,84,64,44,30.22,30.15,30.07,10,9,7,18,9,21.0,T,6,Rain,347,-11.0,2.0
50,50,2008-2-20,76,71,65,63,58,55,73,64,54,30.21,30.17,30.13,10,10,8,17,10,21.0,0.01,5,Rain,52,1.0,-1.0
51,51,2008-2-21,81,77,72,70,67,63,79,71,62,30.15,30.1,30.03,10,9,2,20,11,23.0,0.14,4,Rain,130,5.0,-1.0
52,52,2008-2-22,86,80,74,68,67,66,79,65,51,30.06,30.03,29.97,10,10,10,20,10,23.0,0.00,2,,176,5.0,-2.0
53,53,2008-2-23,89,81,73,70,66,59,87,63,39,30.1,30.05,30.0,10,10,7,18,8,22.0,T,2,Rain,230,3.0,0.0
54,54,2008-2-24,89,80,71,69,67,63,90,67,43,30.14,30.08,30.04,10,9,5,20,7,23.0,T,2,,253,0.0,0.0
55,55,2008-2-25,85,78,70,68,66,60,84,64,44,30.09,30.04,29.97,10,10,9,15,7,17.0,0.01,4,Rain,279,-4.0,2.0
56,56,2008-2-26,86,77,68,69,66,64,90,73,55,29.98,29.92,29.85,10,8,1,20,6,23.0,1.13,4,Rain,200,1.0,0.0
57,57,2008-2-27,77,65,52,66,50,35,79,59,39,30.18,29.96,29.81,10,10,8,23,13,30.0,0.01,5,Rain,296,-9.0,1.0
58,58,2008-2-28,68,58,48,45,36,25,62,46,30,30.33,30.26,30.17,10,10,10,17,12,21.0,0.00,1,Rain,345,-9.0,-4.0
59,59,2008-2-29,76,66,55,54,50,43,67,53,38,30.35,30.3,30.25,10,10,10,20,11,25.0,0.00,5,,54,8.0,4.0
60,60,2008-3-1,78,74,69,56,54,53,61,52,42,30.28,30.21,30.16,10,10,10,16,11,21.0,0.00,3,,65,2.0,-2.0
61,61,2008-3-2,79,75,70,57,54,51,66,53,39,30.17,30.14,30.12,10,10,10,20,14,23.0,0.00,2,,73,1.0,-1.0
62,62,2008-3-3,80,75,69,65,63,58,73,64,54,30.16,30.11,30.06,10,10,3,24,14,29.0,0.10,2,Rain,110,1.0,0.0
63,63,2008-3-4,81,77,72,69,66,64,79,71,62,30.06,30.01,29.96,10,10,10,20,13,25.0,0.00,2,,157,1.0,0.0
64,64,2008-3-5,83,79,74,70,68,64,82,70,58,30.04,29.99,29.93,10,9,0,17,8,21.0,0.17,4,Rain,215,2.0,2.0
65,65,2008-3-6,82,76,70,72,69,65,87,78,69,30.05,30.01,29.94,10,8,1,20,6,22.0,3.34,5,Rain-Thunderstorm,127,-1.0,1.0
66,66,2008-3-7,84,80,75,72,69,66,79,69,58,29.96,29.91,29.87,10,10,10,25,15,35.0,T,4,,160,2.0,-1.0
67,67,2008-3-8,79,68,56,71,56,35,79,54,29,30.26,30.04,29.88,10,9,1,25,15,30.0,0.37,3,Rain-Thunderstorm,283,-5.0,-1.0
68,68,2008-3-9,73,62,51,54,46,35,59,53,46,30.29,30.25,30.23,10,10,10,20,12,22.0,0.00,3,,24,-6.0,0.0
69,69,2008-3-10,77,74,70,58,56,52,61,54,47,30.29,30.22,30.17,10,10,10,17,13,22.0,0.00,5,,73,4.0,2.0
70,70,2008-3-11,77,74,71,65,61,58,79,68,56,30.18,30.08,30.0,10,10,10,14,9,16.0,T,4,Rain,116,0.0,-1.0
71,71,2008-3-12,84,76,67,66,63,57,84,64,44,30.01,29.97,29.92,10,10,7,16,9,21.0,T,2,,260,7.0,-2.0
72,72,2008-3-13,79,69,59,59,54,44,75,53,31,30.07,30.02,29.98,10,10,8,20,8,24.0,0.00,0,,286,-5.0,-2.0
73,73,2008-3-14,83,71,59,65,59,55,84,68,51,30.02,29.96,29.86,10,9,5,20,7,24.0,0.04,1,Rain,253,4.0,1.0
74,74,2008-3-15,90,78,66,69,63,59,84,61,37,29.97,29.93,29.87,10,9,6,18,7,22.0,T,1,,210,7.0,0.0
75,75,2008-3-16,90,81,72,72,69,60,87,63,38,30.14,30.03,29.94,10,8,0,16,9,20.0,T,4,,234,0.0,3.0
76,76,2008-3-17,80,77,73,72,61,55,74,60,45,30.27,30.2,30.13,10,10,9,24,18,29.0,T,5,Rain,74,-10.0,1.0
77,77,2008-3-18,80,76,72,60,58,54,64,56,48,30.24,30.18,30.14,10,10,10,25,17,30.0,T,6,,114,0.0,1.0
78,78,2008-3-19,82,78,73,65,61,56,69,60,51,30.13,30.07,30.02,10,10,10,26,16,35.0,0.00,2,,152,2.0,-4.0
79,79,2008-3-20,87,80,73,68,65,56,79,66,53,30.14,30.03,29.96,10,10,8,22,14,26.0,T,4,Rain,233,5.0,2.0
80,80,2008-3-21,78,75,72,60,56,53,64,53,42,30.17,30.12,30.09,10,10,10,22,15,25.0,0.00,4,,68,-9.0,0.0
81,81,2008-3-22,79,74,69,68,65,61,90,76,62,30.09,30.0,29.97,10,7,1,13,6,15.0,0.94,6,Rain-Thunderstorm,123,1.0,2.0
82,82,2008-3-23,83,76,69,69,66,63,90,76,62,29.97,29.93,29.9,10,8,1,21,5,25.0,0.35,6,Rain,69,4.0,0.0
83,83,2008-3-24,77,69,60,65,62,47,87,71,54,30.17,30.0,29.94,10,8,0,17,9,21.0,T,4,Fog,331,-6.0,-2.0
84,84,2008-3-25,73,64,55,47,43,37,62,49,35,30.31,30.25,30.17,10,10,10,22,15,30.0,0.00,3,,15,-4.0,-1.0
85,85,2008-3-26,77,72,66,52,49,44,49,45,41,30.3,30.25,30.22,10,10,10,20,13,23.0,0.00,6,,70,4.0,3.0
86,86,2008-3-27,79,74,68,59,54,49,57,50,43,30.2,30.13,30.08,10,10,10,18,12,22.0,0.00,4,,90,2.0,-2.0
