,Unnamed: 0,Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,deltaT,deltaC
0,0,2008-1-1,57,48,39,23,16,9,43,28,16,30.79,30.63,30.4,10,10,10,20,16,29.0,0.00,1,,359,,
1,1,2008-1-2,50,41,31,19,16,13,52,36,23,30.92,30.84,30.79,10,10,10,20,12,28.0,0.00,2,,357,-7.0,1.0
2,2,2008-1-3,48,38,27,34,26,17,82,59,43,30.83,30.72,30.55,10,10,10,13,7,18.0,0.00,4,,85,-2.0,2.0
3,3,2008-1-4,64,49,33,56,49,36,94,80,68,30.53,30.38,30.25,10,9,4,16,9,24.0,0.00,7,,108,16.0,3.0
4,4,2008-1-5,75,65,55,63,60,55,94,86,62,30.24,30.16,30.08,10,8,1,15,5,25.0,0.03,5,Fog-Rain,169,11.0,-2.0
5,5,2008-1-6,79,72,65,66,63,59,100,86,50,30.12,30.07,30.02,10,7,0,18,8,28.0,0.00,6,Fog,164,4.0,1.0
6,6,2008-1-7,79,74,69,67,66,65,90,80,65,30.06,30.0,29.94,10,10,9,21,11,30.0,T,8,,161,0.0,2.0
7,7,2008-1-8,77,66,54,69,58,36,87,70,39,30.16,30.03,29.95,10,10,9,21,13,30.0,T,7,Rain,159,-2.0,-1.0
8,8,2008-1-9,68,56,43,58,46,36,96,65,45,30.17,30.04,29.9,10,9,2,18,10,,T,5,,86,-9.0,-2.0
9,9,2008-1-10,72,59,46,64,52,29,100,72,21,30.02,29.91,29.84,10,6,0,16,7,24.0,0.01,6,Fog,287,4.0,1.0
10,10,2008-1-11,66,52,38,38,33,27,73,49,26,30.06,29.98,29.92,10,10,10,9,3,,0.00,1,,98,-6.0,-5.0
11,11,2008-1-12,73,56,39,57,44,34,86,62,38,30.08,29.96,29.88,10,10,10,17,5,25.0,0.00,2,,189,7.0,1.0
12,12,2008-1-13,65,55,44,43,37,30,82,56,27,30.31,30.2,30.09,10,10,10,17,11,21.0,0.00,2,,21,-8.0,0.0
13,13,2008-1-14,65,51,36,39,34,27,83,52,26,30.42,30.35,30.31,10,10,10,12,2,18.0,0.00,4,,97,0.0,2.0
14,14,2008-1-15,60,53,45,46,42,35,90,67,41,30.31,30.19,30.04,10,9,6,13,2,,0.45,8,Rain,67,-5.0,4.0
15,15,2008-1-16,54,50,46,50,48,46,93,87,80,30.02,29.95,29.88,10,6,3,13,8,21.0,0.84,8,Rain,47,-6.0,0.0
16,16,2008-1-17,54,49,44,50,39,32,93,67,50,30.19,30.11,30.02,10,9,3,16,6,,0.00,8,,352,0.0,0.0
17,17,2008-1-18,45,43,40,41,38,33,89,80,56,30.17,30.11,30.05,10,7,2,18,13,25.0,0.76,8,Rain,27,-9.0,0.0
18,18,2008-1-19,53,45,36,39,34,28,93,72,40,30.46,30.26,30.06,10,9,5,23,17,31.0,0.97,5,Rain,2,8.0,-3.0
19,19,2008-1-20,51,40,29,37,31,23,79,63,42,30.56,30.48,30.42,10,10,10,16,7,23.0,0.00,2,,88,-2.0,-3.0
20,20,2008-1-21,59,51,42,58,49,37,94,83,66,30.4,30.25,30.15,10,7,1,17,11,24.0,0.02,8,Rain,101,8.0,6.0
21,21,2008-1-22,71,60,49,63,57,48,94,88,71,30.22,30.16,30.1,10,7,2,17,6,,0.10,8,,35,12.0,0.0
22,22,2008-1-23,49,46,43,48,46,44,94,90,83,30.2,30.14,30.08,10,4,0,13,9,,0.53,8,Rain,15,-22.0,0.0
23,23,2008-1-24,48,44,40,46,40,35,93,79,63,30.37,30.26,30.11,10,8,3,20,13,26.0,0.37,8,Rain,26,-1.0,0.0
24,24,2008-1-25,45,42,39,39,37,31,89,81,56,30.36,30.33,30.28,10,7,1,17,10,,0.09,8,Rain,48,-3.0,0.0
25,25,2008-1-26,64,52,40,48,43,39,93,83,54,30.3,30.26,30.22,10,9,2,8,5,,0.00,6,,321,19.0,-2.0
26,26,2008-1-27,62,51,40,45,43,41,100,90,64,30.4,30.32,30.23,10,3,0,7,3,,0.00,7,Fog,83,-2.0,1.0
27,27,2008-1-28,71,56,40,63,54,39,100,84,65,30.22,30.04,29.88,10,8,1,17,5,23.0,0.00,7,,151,9.0,0.0
28,28,2008-1-29,79,62,45,66,50,19,88,61,19,30.14,29.89,29.79,10,10,10,28,14,36.0,T,7,,237,8.0,0.0
29,29,2008-1-30,55,45,34,49,33,20,82,56,34,30.19,30.07,29.91,10,10,10,21,14,30.0,0.00,4,Rain,82,-24.0,-3.0
30,30,2008-1-31,65,54,43,65,46,14,94,69,13,30.27,29.93,29.81,10,6,1,28,11,40.0,0.45,6,Rain-Thunderstorm,345,10.0,2.0
31,31,2008-2-1,60,47,34,40,29,24,79,52,28,30.36,30.25,30.16,10,10,10,12,6,,0.00,2,,75,-5.0,-4.0
32,32,2008-2-2,75,58,41,60,53,41,90,75,50,30.17,30.11,30.06,10,10,8,14,5,21.0,0.00,6,,148,15.0,4.0
33,33,2008-2-3,80,73,65,69,66,62,94,86,69,30.06,29.99,29.91,10,8,2,16,8,26.0,0.06,8,Rain,171,5.0,2.0
34,34,2008-2-4,78,74,70,68,66,65,90,81,66,29.96,29.89,29.82,10,10,8,17,12,25.0,0.00,8,,168,-2.0,0.0
35,35,2008-2-5,78,69,59,68,63,49,87,76,54,29.92,29.8,29.69,10,10,9,24,13,38.0,0.01,8,,178,0.0,0.0
36,36,2008-2-6,61,50,38,45,30,23,58,43,23,30.17,30.09,29.95,10,10,10,21,13,29.0,0.00,1,,311,-17.0,-7.0
37,37,2008-2-7,71,54,37,43,36,26,73,48,25,30.09,30.05,29.98,10,10,10,20,6,24.0,0.00,0,,237,10.0,-1.0
38,38,2008-2-8,76,58,40,56,46,28,87,59,43,30.04,29.98,29.9,10,10,10,18,6,26.0,0.00,3,,168,5.0,3.0
39,39,2008-2-9,77,66,55,61,57,51,94,75,48,30.22,30.09,29.99,10,10,7,15,5,18.0,T,5,Fog,72,1.0,2.0
40,40,2008-2-10,77,65,53,59,56,46,96,80,48,30.34,30.26,30.21,10,6,0,10,4,,0.00,5,Fog,107,0.0,0.0
41,41,2008-2-11,76,64,52,64,61,55,93,81,62,30.19,30.04,29.85,10,9,6,28,8,44.0,0.07,7,Rain-Thunderstorm,146,-1.0,2.0
42,42,2008-2-12,73,60,47,66,55,32,93,78,49,30.09,29.88,29.81,10,9,1,25,10,54.0,0.66,5,Rain-Thunderstorm,289,-3.0,-2.0
43,43,2008-2-13,62,50,38,39,29,25,74,47,26,30.22,30.14,30.09,10,10,10,13,8,,0.00,0,,4,-11.0,-5.0
44,44,2008-2-14,72,57,41,59,51,39,84,70,53,30.13,30.08,30.04,10,10,10,18,8,25.0,0.00,5,,143,10.0,5.0
45,45,2008-2-15,73,67,60,64,62,60,94,87,73,30.15,30.08,30.03,10,7,2,13,7,21.0,0.35,8,Rain-Thunderstorm,104,1.0,3.0
46,46,2008-2-16,72,62,52,68,63,50,94,89,81,30.04,29.85,29.68,10,5,0,33,10,47.0,0.94,8,Fog-Rain-Thunderstorm,156,-1.0,0.0
47,47,2008-2-17,72,61,50,52,46,40,93,59,35,30.01,29.83,29.76,10,10,10,21,8,31.0,0.00,1,,271,0.0,-7.0
48,48,2008-2-18,65,55,44,41,35,30,68,47,28,30.27,30.15,30.01,10,10,10,15,11,24.0,0.00,1,,35,-7.0,0.0
49,49,2008-2-19,69,54,39,50,42,34,77,59,35,30.34,30.25,30.16,10,10,10,14,4,18.0,0.00,4,,102,4.0,3.0
50,50,2008-2-20,75,64,53,66,62,52,94,86,73,30.14,29.99,29.9,10,6,0,15,6,33.0,1.88,8,Fog-Rain-Thunderstorm,109,6.0,4.0
51,51,2008-2-21,76,67,58,70,68,60,100,90,78,29.91,29.81,29.72,9,3,0,14,5,23.0,0.03,8,Fog-Rain-Thunderstorm,183,1.0,0.0
52,52,2008-2-22,59,53,46,59,49,18,88,75,18,30.05,29.92,29.8,10,9,6,17,9,21.0,T,5,Rain,349,-17.0,-3.0
53,53,2008-2-23,69,55,41,57,49,40,90,78,55,30.09,30.04,29.98,10,8,3,15,6,22.0,0.00,4,,104,10.0,-1.0
54,54,2008-2-24,82,68,54,63,54,34,100,75,18,30.14,30.08,30.0,10,4,0,14,4,,0.00,4,Fog,311,13.0,0.0
