,Unnamed: 0,Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,deltaT,deltaC
0,0,2008-1-1,48,39,29,43,30,20,85,62,39,30.15,29.85,29.7,10,9,4,30,16,35.0,0.07,5,Rain,220,,
1,1,2008-1-2,37,27,17,22,12,-2,56,46,36,30.34,29.92,29.69,10,9,2,31,21,36.0,T,4,Snow,314,-11.0,-1.0
2,2,2008-1-3,22,18,14,1,-4,-8,53,41,28,30.7,30.57,30.36,10,10,10,31,17,39.0,0.00,1,,326,-15.0,-3.0
3,3,2008-1-4,37,26,14,18,9,0,59,44,29,30.67,30.55,30.44,10,10,10,24,13,28.0,0.00,4,,238,15.0,3.0
4,4,2008-1-5,40,33,26,32,24,18,76,63,50,30.43,30.35,30.26,10,10,6,13,7,15.0,0.06,6,Rain,218,3.0,2.0
5,5,2008-1-6,44,39,34,38,33,28,89,77,65,30.27,30.25,30.22,10,8,5,12,6,14.0,T,7,Rain,200,4.0,1.0
6,6,2008-1-7,53,45,37,42,39,35,92,78,63,30.27,30.22,30.19,10,9,6,12,4,12.0,0.00,5,,176,9.0,-2.0
7,7,2008-1-8,54,48,41,46,43,38,93,82,71,30.21,30.12,29.98,10,9,6,18,8,22.0,0.00,5,,179,1.0,0.0
8,8,2008-1-9,65,55,44,49,39,22,93,60,26,30.08,29.89,29.78,10,6,0,35,20,44.0,T,5,Fog-Rain,209,11.0,0.0
9,9,2008-1-10,50,45,39,36,26,20,70,52,34,30.21,30.15,30.05,10,10,10,18,9,25.0,T,6,Rain,245,-15.0,1.0
