,Unnamed: 0,Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,deltaT,deltaC
0,0,2008-1-1,26,16,6,23,15,-2,93,81,69,30.43,30.12,29.9,10,3,1,22,15,30.0,0.0,8,Snow,297,,
1,1,2008-1-2,19,11,3,10,2,-4,80,72,65,30.79,30.63,30.44,10,9,2,13,10,,0.0,3,Snow,290,-7.0,-5.0
2,2,2008-1-3,23,11,1,15,5,-3,88,74,59,30.79,30.64,30.41,10,10,9,18,8,30.0,0.0,2,,210,4.0,-1.0
3,3,2008-1-4,35,29,23,23,19,14,72,65,57,30.4,30.25,30.07,10,10,10,18,12,30.0,0.0,6,,197,12.0,4.0
4,4,2008-1-5,43,40,36,42,36,22,97,85,57,30.05,29.92,29.86,10,6,0,17,13,25.0,0.02,8,Fog-Rain,201,8.0,2.0
5,5,2008-1-6,60,51,42,55,49,41,100,91,80,29.88,29.79,29.69,10,5,1,18,11,30.0,0.0,8,,192,17.0,0.0
6,6,2008-1-7,64,59,54,57,55,50,97,87,73,29.86,29.82,29.78,10,9,2,33,12,43.0,0.38,8,Rain-Thunderstorm,203,4.0,0.0
7,7,2008-1-8,55,46,37,54,48,34,100,93,82,29.82,29.7,29.56,10,6,2,23,11,32.0,1.59,8,Rain-Snow-Thunderstorm,211,-9.0,0.0
8,8,2008-1-9,39,34,30,34,29,27,87,79,67,30.17,30.08,29.86,10,9,5,18,12,29.0,0.0,6,,237,-16.0,-2.0
9,9,2008-1-10,44,38,33,37,33,29,93,82,60,30.09,29.67,29.38,10,7,2,16,7,26.0,0.24,8,Rain-Snow,93,5.0,2.0
10,10,2008-1-11,36,33,30,34,29,23,96,83,69,29.95,29.74,29.42,10,7,3,16,12,21.0,0.0,8,Rain-Snow,267,-8.0,0.0
11,11,2008-1-12,41,34,27,30,27,23,89,75,60,30.06,29.99,29.91,10,9,7,14,7,23.0,0.0,5,,171,5.0,-3.0
12,12,2008-1-13,36,31,26,32,26,19,89,81,72,30.02,29.95,29.9,10,6,2,17,10,25.0,0.0,8,Snow,259,-5.0,3.0
13,13,2008-1-14,27,22,17,19,17,10,86,77,69,30.15,30.07,30.0,10,7,2,17,13,24.0,0.0,7,Snow,283,-9.0,-1.0
14,14,2008-1-15,26,20,13,16,12,7,78,70,63,30.22,30.17,30.1,10,10,10,13,9,,0.0,4,,244,-1.0,-3.0
15,15,2008-1-16,37,29,21,23,19,16,78,62,48,30.21,30.14,30.06,10,10,10,18,9,26.0,0.0,4,,177,11.0,0.0
16,16,2008-1-17,34,24,12,34,23,8,100,84,56,30.04,29.82,29.66,10,6,0,30,14,39.0,0.07,7,Rain-Snow,217,-3.0,3.0
17,17,2008-1-18,28,19,8,21,12,2,85,77,69,30.23,30.08,29.98,10,8,2,18,14,28.0,0.0,5,Snow,259,-6.0,-2.0
18,18,2008-1-19,6,2,-2,-1,-8,-12,78,66,57,30.45,30.36,30.21,10,10,10,16,14,26.0,0.0,1,,285,-22.0,-4.0
19,19,2008-1-20,10,3,-4,-4,-8,-12,72,61,48,30.7,30.59,30.44,10,10,10,16,10,17.0,0.0,2,,270,4.0,1.0
20,20,2008-1-21,28,19,10,25,13,-4,93,71,44,30.72,30.38,30.06,10,6,1,13,7,20.0,0.05,8,Snow,186,18.0,6.0
21,21,2008-1-22,30,20,10,27,17,0,93,80,57,30.19,30.05,29.94,10,5,1,25,13,34.0,0.09,5,Snow,253,2.0,-3.0
22,22,2008-1-23,16,12,7,11,6,1,84,75,67,30.19,30.12,30.04,10,5,1,14,9,,0.01,6,Snow,271,-14.0,1.0
23,23,2008-1-24,10,4,-2,-1,-9,-12,73,57,42,30.59,30.43,30.18,10,10,10,14,11,17.0,0.0,0,,289,-6.0,-6.0
24,24,2008-1-25,21,8,-2,14,5,-10,86,73,49,30.6,30.39,30.22,10,6,0,10,7,18.0,0.03,6,Fog-Snow,192,11.0,6.0
25,25,2008-1-26,32,26,19,25,18,12,86,77,60,30.2,30.03,29.88,10,7,1,20,10,25.0,0.02,6,Snow,217,11.0,0.0
26,26,2008-1-27,36,24,12,24,17,9,88,74,55,30.18,30.13,30.06,10,8,4,13,6,,0.0,2,,220,4.0,-4.0
27,27,2008-1-28,44,37,30,33,27,24,82,62,47,30.03,29.73,29.42,10,10,9,25,14,37.0,0.04,7,Rain,187,8.0,5.0
28,28,2008-1-29,48,26,1,47,26,-2,100,87,74,29.6,29.31,29.06,10,4,0,32,18,46.0,0.1,7,Fog-Rain-Snow,238,4.0,0.0
29,29,2008-1-30,12,6,0,2,-4,-10,85,67,56,30.41,30.02,29.58,10,8,2,26,20,39.0,0.0,4,Snow,271,-36.0,-3.0
30,30,2008-1-31,26,19,12,23,17,2,89,81,56,30.51,30.29,30.03,10,2,0,24,11,29.0,0.04,8,Fog-Snow,82,14.0,4.0
31,31,2008-2-1,30,27,24,27,23,19,93,86,75,30.14,29.91,29.82,10,3,0,21,15,29.0,0.06,8,Fog-Snow,34,4.0,0.0
32,32,2008-2-2,30,27,24,26,23,20,86,82,78,30.17,30.1,29.99,8,7,4,13,9,22.0,0.0,8,,204,0.0,0.0
33,33,2008-2-3,32,29,26,29,26,23,96,88,81,30.28,30.14,29.99,7,3,0,15,7,,0.16,8,Fog-Snow,79,2.0,0.0
34,34,2008-2-4,43,38,32,43,35,28,100,97,87,30.03,29.83,29.69,2,1,0,15,9,32.0,0.08,8,Fog-Rain,117,11.0,0.0
35,35,2008-2-5,42,38,33,43,35,30,100,92,81,29.97,29.83,29.68,10,5,0,23,8,30.0,0.19,8,Fog-Rain-Snow,354,-1.0,0.0
36,36,2008-2-6,35,30,26,34,31,24,100,94,82,29.83,29.58,29.35,9,3,0,32,19,39.0,0.41,8,Fog-Rain-Snow,28,-7.0,0.0
37,37,2008-2-7,27,26,26,25,22,19,93,82,74,30.01,29.93,29.84,10,7,2,13,8,,0.0,8,Snow,254,-8.0,0.0
38,38,2008-2-8,37,32,26,34,28,24,93,85,70,29.9,29.82,29.7,10,6,2,17,7,22.0,0.12,7,Rain-Snow,182,10.0,-1.0
39,39,2008-2-9,36,28,17,34,25,7,93,79,65,30.05,29.79,29.67,10,8,4,22,13,32.0,0.0,7,Snow,254,-1.0,0.0
40,40,2008-2-10,15,6,-2,-1,-13,-17,60,51,47,30.57,30.4,30.08,10,10,10,29,20,38.0,0.0,3,,291,-21.0,-4.0
41,41,2008-2-11,15,6,-2,9,-1,-15,85,67,46,30.58,30.42,30.27,10,6,1,13,6,,0.03,8,Snow,93,0.0,5.0
42,42,2008-2-12,21,18,15,18,14,7,86,81,70,30.27,29.99,29.87,10,4,0,16,11,,0.04,8,Fog-Snow,39,6.0,0.0
43,43,2008-2-13,21,15,9,10,7,4,84,71,58,30.08,30.04,29.98,10,10,9,12,8,18.0,0.0,1,,270,0.0,-7.0
44,44,2008-2-14,36,27,18,29,22,13,82,77,70,30.09,29.98,29.87,10,9,7,18,12,29.0,0.0,7,Snow,220,15.0,6.0
45,45,2008-2-15,25,20,12,19,6,-2,78,59,38,30.46,30.36,30.1,10,10,9,15,11,,0.0,3,,312,-11.0,-4.0
46,46,2008-2-16,35,22,10,31,11,0,85,59,41,30.4,30.18,29.83,10,10,6,12,5,20.0,0.0,3,,180,10.0,0.0
