,Unnamed: 0,Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,deltaT,deltaC
0,0,2008-1-1,43,35,27,26,17,7,73,49,29,30.62,30.48,30.28,10,10,10,25,15,33.0,0.00,1,,307,,
1,1,2008-1-2,30,25,20,11,10,8,63,54,45,30.86,30.78,30.62,10,10,10,16,11,25.0,0.00,1,,348,-13.0,0.0
2,2,2008-1-3,34,26,17,13,11,9,68,54,42,30.88,30.77,30.63,10,10,10,9,6,,0.00,3,,134,4.0,2.0
3,3,2008-1-4,52,39,26,36,19,10,56,42,21,30.61,30.47,30.27,10,10,10,20,12,25.0,0.00,6,,172,18.0,3.0
4,4,2008-1-5,59,54,49,55,48,36,94,81,56,30.26,30.13,30.06,10,7,1,20,16,26.0,0.25,8,Rain,173,7.0,2.0
5,5,2008-1-6,69,64,59,61,58,55,88,78,70,30.12,30.07,30.04,10,10,9,22,16,29.0,0.00,7,,183,10.0,-1.0
6,6,2008-1-7,74,69,63,61,59,56,90,77,57,30.16,30.08,29.97,10,10,4,23,15,30.0,0.03,7,Rain,170,5.0,0.0
7,7,2008-1-8,74,59,43,63,56,36,88,77,66,30.15,29.93,29.79,10,9,1,29,19,36.0,0.30,7,Rain-Thunderstorm,213,0.0,0.0
8,8,2008-1-9,58,47,36,40,37,33,89,70,49,30.21,30.11,29.95,10,10,9,10,4,,0.00,2,,101,-16.0,-5.0
9,9,2008-1-10,68,56,44,61,49,35,94,82,46,29.94,29.76,29.6,10,7,1,18,8,29.0,1.59,6,Rain-Thunderstorm,209,10.0,4.0
10,10,2008-1-11,50,42,34,34,30,26,79,62,41,30.01,29.95,29.86,10,10,10,14,7,,0.00,3,,281,-18.0,-3.0
11,11,2008-1-12,62,47,32,35,29,25,85,54,26,30.08,30.01,29.96,10,10,10,9,2,,0.00,4,,7,12.0,1.0
12,12,2008-1-13,50,41,31,40,31,24,86,73,62,30.29,30.15,30.02,10,10,8,15,9,20.0,T,3,Rain,313,-12.0,-1.0
13,13,2008-1-14,51,39,26,34,28,22,84,65,52,30.31,30.26,30.23,10,10,10,10,4,,0.00,0,,263,1.0,-3.0
14,14,2008-1-15,47,38,29,22,18,15,61,46,30,30.29,30.22,30.15,10,10,10,12,6,,0.00,3,,20,-4.0,3.0
15,15,2008-1-16,46,42,37,36,28,21,93,65,44,30.16,30.1,30.03,10,9,7,13,7,,0.14,8,Rain,111,-1.0,5.0
16,16,2008-1-17,47,39,31,41,36,22,93,84,65,30.19,30.04,30.0,10,7,2,13,7,21.0,0.01,7,,225,1.0,-1.0
17,17,2008-1-18,43,40,37,22,15,9,69,48,26,30.32,30.24,30.18,10,10,10,8,5,,0.00,4,,317,-4.0,-3.0
18,18,2008-1-19,37,30,23,25,16,4,75,54,37,30.5,30.35,30.22,10,10,10,16,9,24.0,0.00,4,,346,-6.0,0.0
19,19,2008-1-20,33,26,18,7,3,0,50,40,29,30.69,30.6,30.5,10,10,10,10,8,20.0,0.00,0,,53,-4.0,-4.0
20,20,2008-1-21,49,35,21,25,7,1,55,32,14,30.62,30.48,30.29,10,10,10,16,8,22.0,T,4,Rain,137,16.0,4.0
21,21,2008-1-22,43,39,35,39,35,28,93,87,75,30.32,30.27,30.22,10,5,2,10,7,,0.35,8,Rain,315,-6.0,4.0
22,22,2008-1-23,37,34,31,29,27,25,82,77,70,30.27,30.21,30.15,10,9,6,12,6,,0.00,8,,297,-6.0,0.0
23,23,2008-1-24,35,29,22,25,16,6,82,58,41,30.57,30.41,30.18,10,10,8,16,10,23.0,0.00,2,,352,-2.0,-6.0
24,24,2008-1-25,31,26,21,24,12,6,76,55,41,30.56,30.45,30.32,10,10,10,13,9,,0.01,8,,111,-4.0,6.0
25,25,2008-1-26,36,33,30,31,29,26,93,87,81,30.31,30.26,30.22,10,6,1,10,7,,T,8,,205,5.0,0.0
26,26,2008-1-27,45,38,30,36,31,27,93,87,71,30.38,30.31,30.21,9,3,0,8,5,,0.00,5,Fog,223,9.0,-3.0
27,27,2008-1-28,61,46,30,43,32,27,93,66,29,30.22,30.06,29.81,10,8,0,22,10,30.0,0.00,6,Fog,174,16.0,1.0
28,28,2008-1-29,68,49,30,61,49,15,94,78,38,30.14,29.65,29.42,10,8,1,39,19,47.0,1.18,6,Rain,220,7.0,0.0
29,29,2008-1-30,47,36,24,17,15,10,66,45,29,30.25,30.18,30.11,10,10,10,16,7,,0.00,1,,68,-21.0,-5.0
30,30,2008-1-31,43,38,33,39,32,18,93,81,42,30.2,29.96,29.74,10,7,2,18,10,24.0,0.82,8,Rain,138,-4.0,7.0
31,31,2008-2-1,45,39,33,34,29,26,89,73,55,30.24,30.12,29.91,10,9,2,23,12,29.0,T,6,Rain-Snow,258,2.0,-2.0
32,32,2008-2-2,61,47,33,45,38,29,85,70,47,30.2,30.14,30.07,10,10,10,18,9,24.0,0.00,4,,183,16.0,-2.0
33,33,2008-2-3,61,54,46,58,51,43,90,83,75,30.12,30.04,29.94,10,9,3,20,8,24.0,T,7,Rain,153,0.0,3.0
34,34,2008-2-4,76,69,61,65,62,58,94,83,64,29.95,29.92,29.87,10,9,5,24,11,31.0,0.23,7,Rain,180,15.0,0.0
35,35,2008-2-5,79,71,62,65,63,57,88,78,62,29.93,29.79,29.61,10,10,9,25,15,46.0,0.50,8,Rain-Thunderstorm,184,3.0,1.0
36,36,2008-2-6,62,49,35,58,37,27,93,73,56,30.08,29.85,29.64,10,9,2,22,14,31.0,0.04,7,Rain,260,-17.0,-1.0
37,37,2008-2-7,50,40,30,31,27,24,85,61,38,30.1,30.01,29.93,10,10,8,7,3,,T,3,,350,-12.0,-4.0
38,38,2008-2-8,60,47,33,35,32,26,87,57,32,30.01,29.93,29.86,10,10,10,15,4,,0.00,1,,201,10.0,-2.0
39,39,2008-2-9,62,50,38,35,30,26,73,48,28,30.25,30.1,29.91,10,10,10,14,9,17.0,0.00,0,,265,2.0,-1.0
40,40,2008-2-10,52,42,32,32,26,17,72,53,41,30.44,30.36,30.23,10,10,10,16,6,17.0,0.00,0,,26,-10.0,0.0
41,41,2008-2-11,62,46,29,45,25,11,77,47,33,30.37,30.15,29.87,10,10,9,21,9,26.0,0.02,3,,70,10.0,3.0
42,42,2008-2-12,63,46,28,49,35,23,93,87,60,30.02,29.9,29.82,10,6,1,18,10,30.0,0.66,8,Rain-Thunderstorm,340,1.0,5.0
43,43,2008-2-13,35,29,23,22,19,17,78,70,56,30.16,30.11,30.04,10,10,9,16,11,21.0,T,4,Snow,352,-28.0,-4.0
44,44,2008-2-14,58,42,26,28,24,19,78,53,26,30.22,30.15,30.05,10,10,10,22,9,28.0,0.00,2,,164,23.0,-2.0
45,45,2008-2-15,61,52,43,47,40,28,80,65,48,30.29,30.26,30.17,10,9,7,13,8,,0.00,8,,335,3.0,6.0
46,46,2008-2-16,63,52,41,52,43,35,84,73,58,30.26,30.04,29.67,10,7,4,22,10,29.0,0.04,8,Rain,105,2.0,0.0
47,47,2008-2-17,65,55,45,54,47,34,94,73,48,29.91,29.63,29.5,10,9,4,31,19,40.0,0.52,6,Rain-Thunderstorm,220,2.0,-2.0
48,48,2008-2-18,52,44,35,33,28,23,73,57,33,30.14,30.05,29.92,10,10,10,17,10,21.0,0.00,2,,281,-13.0,-4.0
49,49,2008-2-19,51,43,34,30,26,22,76,53,32,30.33,30.2,30.1,10,10,10,13,8,16.0,0.00,2,,266,-1.0,0.0
50,50,2008-2-20,59,48,36,38,30,19,61,50,40,30.21,30.14,30.07,10,10,10,21,12,29.0,T,7,,321,8.0,5.0
51,51,2008-2-21,54,44,34,48,33,21,92,70,46,30.19,29.97,29.8,10,7,0,15,10,,0.11,8,Rain,44,-5.0,1.0
52,52,2008-2-22,43,40,36,40,35,32,93,88,79,30.06,29.92,29.78,10,6,0,15,9,21.0,0.31,8,Fog-Rain,337,-11.0,0.0
53,53,2008-2-23,47,41,34,32,31,28,89,77,56,30.19,30.12,30.05,10,9,8,13,6,,T,6,Rain,6,4.0,-2.0
54,54,2008-2-24,51,44,36,39,36,32,87,75,66,30.22,30.14,30.07,10,9,7,14,5,,0.03,6,Rain,12,4.0,0.0
55,55,2008-2-25,64,48,32,52,41,30,89,69,48,30.11,29.85,29.6,10,9,3,17,6,23.0,0.00,4,,169,13.0,-2.0
56,56,2008-2-26,60,45,30,50,31,14,83,64,48,30.21,29.95,29.62,10,10,9,26,17,38.0,0.00,7,,316,-4.0,3.0
57,57,2008-2-27,40,33,26,20,18,14,66,55,46,30.28,30.23,30.2,10,10,10,14,8,18.0,0.00,3,,290,-20.0,-4.0
