,Unnamed: 0,Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,deltaT,deltaC
0,0,2008-1-1,40,31,21,33,22,16,81,70,59,30.02,29.88,29.72,10,6,1,29,16,39.0,0.04,8,Rain-Snow,238,,
1,1,2008-1-2,26,20,14,16,10,2,84,60,36,30.61,30.26,29.95,10,6,1,25,14,30.0,0.05,5,Snow,289,-14.0,-3.0
2,2,2008-1-3,20,17,13,11,9,7,84,70,56,30.8,30.69,30.53,10,9,5,18,8,21.0,T,5,Snow,232,-6.0,0.0
3,3,2008-1-4,36,25,13,10,8,7,76,54,32,30.66,30.53,30.38,10,10,10,21,7,23.0,0.00,4,,188,16.0,-1.0
4,4,2008-1-5,41,35,29,39,24,9,92,64,35,30.37,30.26,30.15,10,8,3,17,8,23.0,0.02,8,Rain,188,5.0,4.0
5,5,2008-1-6,57,49,41,47,44,39,93,83,72,30.19,30.14,30.08,10,9,3,15,9,17.0,0.02,8,Rain,194,16.0,0.0
6,6,2008-1-7,66,61,56,52,49,47,72,65,58,30.21,30.14,30.11,10,10,10,18,9,24.0,0.00,7,,195,9.0,-1.0
7,7,2008-1-8,69,63,57,49,45,43,67,54,40,30.11,29.95,29.66,10,10,10,26,12,37.0,0.00,6,,187,3.0,-1.0
8,8,2008-1-9,65,50,34,52,34,25,77,58,39,30.2,29.94,29.56,10,9,0,47,14,58.0,0.07,6,Rain,249,-4.0,0.0
9,9,2008-1-10,50,40,30,44,31,25,89,66,42,30.21,29.95,29.62,10,8,2,16,5,20.0,0.62,7,Rain,92,-15.0,1.0
10,10,2008-1-11,55,46,37,49,36,27,83,68,53,29.95,29.71,29.5,10,10,6,24,11,33.0,0.12,8,Rain,237,5.0,1.0
11,11,2008-1-12,45,39,32,27,25,24,72,59,45,30.14,30.09,29.98,10,10,7,17,3,21.0,0.00,5,,280,-10.0,-3.0
12,12,2008-1-13,41,36,30,36,29,24,92,76,59,30.1,29.98,29.86,10,7,2,15,6,18.0,0.16,7,Rain-Snow,115,-4.0,2.0
13,13,2008-1-14,37,32,27,34,24,19,89,81,72,30.02,29.94,29.84,10,6,0,20,10,23.0,0.04,8,Snow,251,-4.0,1.0
14,14,2008-1-15,27,25,23,21,18,14,81,75,68,30.24,29.99,29.86,10,6,2,17,10,24.0,0.02,8,Snow,251,-10.0,0.0
15,15,2008-1-16,33,29,24,21,19,18,81,70,58,30.41,30.32,30.25,10,8,6,10,5,14.0,0.01,8,Snow,181,6.0,0.0
16,16,2008-1-17,37,33,29,34,28,19,96,76,56,30.25,30.01,29.82,10,5,0,14,6,17.0,0.06,8,Snow,128,4.0,0.0
17,17,2008-1-18,40,32,24,36,19,8,89,66,42,30.14,30.01,29.79,10,10,9,24,11,33.0,0.01,4,Rain,238,3.0,-4.0
18,18,2008-1-19,30,22,14,18,12,1,77,64,50,30.16,30.1,29.99,10,10,9,20,11,25.0,T,6,Snow,249,-10.0,2.0
19,19,2008-1-20,15,10,5,1,-4,-7,69,56,42,30.65,30.38,30.15,10,9,2,22,12,29.0,0.02,4,Snow,257,-15.0,-2.0
20,20,2008-1-21,25,16,6,0,-4,-7,69,48,27,30.82,30.67,30.43,10,10,10,14,6,16.0,0.00,2,,194,10.0,-2.0
21,21,2008-1-22,36,27,18,30,21,1,89,62,35,30.38,30.07,29.94,10,6,0,29,12,37.0,0.07,8,Snow,229,11.0,6.0
22,22,2008-1-23,28,21,13,13,8,6,76,59,42,30.18,30.08,29.99,10,10,10,15,8,17.0,0.00,2,,234,-8.0,-6.0
23,23,2008-1-24,25,19,12,19,13,3,84,68,51,30.43,30.1,29.96,10,5,0,24,8,28.0,0.10,7,Snow,280,-3.0,5.0
24,24,2008-1-25,22,15,7,6,3,1,79,62,45,30.58,30.49,30.36,10,10,6,20,6,23.0,0.00,2,,234,-3.0,-5.0
25,25,2008-1-26,29,23,16,23,15,7,88,70,51,30.35,30.18,30.02,10,7,1,13,5,16.0,0.01,8,Snow,166,7.0,6.0
26,26,2008-1-27,32,28,24,29,25,22,92,85,78,30.24,30.1,30.0,7,4,2,12,6,14.0,0.05,8,Snow,238,3.0,0.0
27,27,2008-1-28,43,32,21,30,23,20,96,73,49,30.25,30.14,29.9,10,8,4,15,5,20.0,0.04,4,Rain,183,11.0,-4.0
28,28,2008-1-29,51,44,36,47,38,29,89,76,62,29.87,29.64,29.34,10,10,8,20,10,26.0,0.12,8,Rain,171,8.0,4.0
29,29,2008-1-30,51,35,19,45,11,0,77,55,33,30.38,29.87,29.23,10,10,7,37,17,48.0,0.01,3,Rain-Snow,243,0.0,-5.0
30,30,2008-1-31,35,24,12,9,6,2,73,49,25,30.61,30.44,30.23,10,10,10,15,6,20.0,T,5,Rain,64,-16.0,2.0
