,Unnamed: 0,Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,deltaT,deltaC
0,0,2008-1-1,55,45,35,39,26,13,82,52,21,30.07,30.0,29.94,10,10,10,20,9,25.0,0.00,0,,269,,
1,1,2008-1-2,35,30,25,14,7,3,46,38,29,30.53,30.24,30.06,10,10,9,20,11,28.0,T,2,Snow,303,-20.0,2.0
2,2,2008-1-3,35,28,20,11,6,2,62,44,25,30.77,30.7,30.53,10,10,10,12,4,17.0,0.00,0,,334,0.0,-2.0
3,3,2008-1-4,45,31,17,16,12,11,80,53,25,30.76,30.67,30.55,10,10,10,16,6,21.0,0.00,1,,220,10.0,1.0
4,4,2008-1-5,55,40,25,31,20,12,57,41,24,30.53,30.43,30.34,10,10,10,18,9,21.0,0.00,6,,222,10.0,5.0
5,5,2008-1-6,69,55,40,45,39,31,76,58,39,30.37,30.32,30.26,10,10,10,18,8,22.0,0.00,4,,222,14.0,-2.0
6,6,2008-1-7,72,58,43,50,48,43,93,69,44,30.41,30.33,30.3,10,9,7,15,6,17.0,0.00,3,Fog,219,3.0,-1.0
7,7,2008-1-8,73,62,50,56,53,49,100,77,53,30.33,30.25,30.08,10,7,0,16,8,21.0,0.00,6,Fog,219,1.0,3.0
8,8,2008-1-9,73,65,56,57,52,31,84,64,43,30.14,30.06,30.01,10,10,10,20,10,23.0,0.00,6,,227,0.0,0.0
9,9,2008-1-10,56,52,47,46,41,31,93,65,36,30.17,30.07,29.88,10,9,2,16,5,20.0,0.15,7,Rain,57,-17.0,1.0
10,10,2008-1-11,68,59,49,58,54,38,93,75,57,29.87,29.8,29.74,10,10,10,30,13,38.0,T,7,Rain,217,12.0,0.0
11,11,2008-1-12,58,50,41,40,35,32,70,58,46,30.08,30.01,29.89,10,10,10,15,7,17.0,0.00,5,,43,-10.0,-2.0
12,12,2008-1-13,47,43,39,37,35,32,82,72,62,30.08,30.01,29.93,10,9,7,13,6,14.0,T,7,,35,-11.0,2.0
13,13,2008-1-14,52,42,31,35,25,15,96,63,29,30.07,29.99,29.95,10,8,5,16,4,22.0,0.00,2,Fog,301,5.0,-5.0
14,14,2008-1-15,44,34,24,23,14,5,74,47,20,30.24,30.08,30.02,10,10,10,18,5,25.0,0.00,1,,275,-8.0,-1.0
15,15,2008-1-16,46,34,21,20,16,12,69,49,28,30.38,30.32,30.23,10,10,10,10,3,12.0,0.00,6,,82,2.0,5.0
16,16,2008-1-17,39,37,34,34,30,19,96,70,44,30.33,30.11,29.96,10,6,2,17,8,21.0,0.55,8,Rain-Snow,54,-7.0,2.0
17,17,2008-1-18,51,42,33,40,35,32,100,80,59,30.16,30.08,30.0,10,4,0,12,7,14.0,0.00,7,Fog,244,12.0,-1.0
18,18,2008-1-19,42,38,33,38,33,30,92,83,73,30.16,30.05,29.99,10,4,1,9,4,14.0,0.28,8,Rain-Snow,318,-9.0,1.0
19,19,2008-1-20,33,26,18,31,11,-3,89,57,25,30.66,30.35,30.01,10,9,6,16,7,21.0,T,1,Snow,335,-9.0,-7.0
20,20,2008-1-21,37,26,15,10,2,-2,56,39,22,30.85,30.73,30.65,10,10,10,10,5,10.0,0.00,1,,58,4.0,0.0
21,21,2008-1-22,42,33,24,38,26,8,92,71,50,30.62,30.3,30.08,10,8,2,10,4,12.0,0.15,7,Rain,239,5.0,6.0
22,22,2008-1-23,54,46,37,39,36,34,100,73,46,30.12,30.07,30.03,10,6,0,9,4,12.0,T,6,Fog,254,12.0,-1.0
23,23,2008-1-24,47,39,30,34,26,10,100,65,30,30.3,30.02,29.94,10,7,0,18,6,24.0,0.00,5,Fog,336,-7.0,-1.0
24,24,2008-1-25,39,30,21,16,7,4,55,40,25,30.55,30.46,30.35,10,10,10,14,4,22.0,0.00,2,,321,-8.0,-3.0
25,25,2008-1-26,48,39,29,23,17,12,59,44,28,30.37,30.21,30.06,10,10,10,12,5,15.0,0.00,7,,209,9.0,5.0
26,26,2008-1-27,52,39,26,27,24,22,78,55,32,30.14,30.08,30.02,10,10,10,12,3,16.0,0.00,1,,338,4.0,-6.0
27,27,2008-1-28,55,40,24,29,24,21,88,58,28,30.25,30.16,30.08,10,10,9,12,2,15.0,0.00,2,,212,3.0,1.0
