,Unnamed: 0,Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,deltaT,deltaC
0,0,2008-1-1,23,16,9,11,6,3,76,69,61,30.89,30.81,30.7,10,10,10,12,6,14.0,0.00,4,,105,,
1,1,2008-1-2,26,16,6,15,9,4,88,72,55,30.7,30.51,30.36,10,10,10,7,2,10.0,0.00,4,,357,3.0,0.0
2,2,2008-1-3,27,18,8,20,13,4,84,76,68,30.36,30.2,29.98,10,9,6,13,4,16.0,0.00,6,,325,1.0,2.0
3,3,2008-1-4,51,35,19,30,27,17,84,63,42,30.04,29.79,29.47,10,10,10,38,16,45.0,T,7,,164,24.0,1.0
4,4,2008-1-5,48,38,27,37,29,16,96,65,34,29.75,29.63,29.41,10,7,0,39,11,46.0,0.40,7,Fog-Rain-Snow,155,-3.0,0.0
5,5,2008-1-6,37,29,21,31,27,19,92,78,63,29.86,29.67,29.56,10,6,0,26,9,32.0,0.16,6,Fog-Rain-Snow,336,-11.0,-1.0
6,6,2008-1-7,30,23,15,22,18,12,88,78,68,30.18,29.98,29.87,10,10,10,12,6,12.0,0.00,6,,123,-7.0,0.0
7,7,2008-1-8,39,28,16,26,20,15,92,68,44,30.25,30.08,29.92,10,10,10,31,14,38.0,0.00,6,,167,9.0,0.0
8,8,2008-1-9,39,28,16,30,27,12,92,75,57,30.25,29.99,29.88,10,6,0,22,9,28.0,0.09,7,Snow,210,0.0,1.0
9,9,2008-1-10,34,25,16,22,18,12,80,68,56,30.25,30.13,29.99,10,10,10,21,8,23.0,0.00,6,,149,-5.0,-1.0
10,10,2008-1-11,39,33,27,31,28,20,89,76,63,30.23,30.11,30.0,10,7,2,16,6,20.0,0.04,7,Snow,156,5.0,1.0
11,11,2008-1-12,38,33,28,28,25,22,92,73,54,30.3,30.26,30.22,10,10,10,12,6,13.0,0.00,7,,150,-1.0,0.0
12,12,2008-1-13,34,26,17,30,26,12,100,85,69,30.59,30.39,30.26,10,2,0,9,4,12.0,0.05,7,Fog-Snow,348,-4.0,0.0
13,13,2008-1-14,33,23,12,25,16,7,96,80,64,30.66,30.53,30.32,10,5,0,15,5,17.0,0.00,5,Fog,121,-1.0,-2.0
14,14,2008-1-15,31,22,13,22,15,6,84,67,50,30.38,30.23,30.09,10,9,2,24,10,30.0,T,5,Snow,337,-2.0,0.0
15,15,2008-1-16,20,14,7,11,7,2,80,71,62,30.48,30.43,30.38,10,10,10,14,5,15.0,0.00,4,,351,-11.0,-1.0
16,16,2008-1-17,24,17,10,13,8,3,76,65,54,30.45,30.38,30.27,10,10,10,12,6,13.0,T,7,Snow,156,4.0,3.0
17,17,2008-1-18,28,23,17,20,17,13,84,76,68,30.49,30.41,30.33,10,8,4,10,5,13.0,0.01,7,Snow,154,4.0,0.0
18,18,2008-1-19,35,29,22,20,19,17,81,67,52,30.48,30.32,30.03,10,10,10,20,10,24.0,0.00,6,,158,7.0,-1.0
19,19,2008-1-20,35,29,23,25,22,18,81,70,58,29.97,29.8,29.68,10,10,7,16,5,20.0,0.00,7,,299,0.0,1.0
20,20,2008-1-21,30,20,9,27,21,7,92,85,77,30.32,29.87,29.63,10,3,0,16,8,18.0,0.34,8,Fog-Snow,323,-5.0,1.0
21,21,2008-1-22,19,9,-2,11,4,-6,91,79,67,30.48,30.36,30.23,10,6,0,10,4,12.0,T,5,,334,-11.0,-3.0
22,22,2008-1-23,19,11,2,12,5,0,87,80,73,30.46,30.29,30.06,10,5,2,8,4,9.0,T,5,Snow,7,0.0,0.0
23,23,2008-1-24,23,14,5,16,11,1,96,84,71,30.18,29.95,29.81,6,2,0,9,4,13.0,0.02,7,Fog-Snow,352,4.0,2.0
24,24,2008-1-25,30,19,8,23,15,4,92,83,73,30.35,30.17,29.97,6,3,0,13,3,14.0,0.00,6,,310,7.0,-1.0
25,25,2008-1-26,38,23,8,27,18,5,100,77,54,30.39,30.28,30.09,10,6,0,15,4,18.0,0.00,2,Fog,327,8.0,-4.0
26,26,2008-1-27,45,39,32,34,26,18,67,57,47,30.09,29.77,29.44,10,10,10,37,22,48.0,T,6,,162,7.0,4.0
27,27,2008-1-28,43,33,22,32,22,10,92,73,53,30.02,29.58,29.32,10,6,0,44,20,53.0,0.07,7,Fog-Snow,314,-2.0,1.0
28,28,2008-1-29,28,23,17,23,14,9,81,64,46,30.14,29.99,29.74,10,9,2,30,14,36.0,0.01,6,Snow,179,-15.0,-1.0
29,29,2008-1-30,28,25,21,25,18,13,92,73,53,30.29,29.93,29.71,10,7,0,23,11,30.0,0.06,7,Fog-Snow,254,0.0,1.0
30,30,2008-1-31,36,27,18,20,15,11,81,60,39,30.32,30.15,29.87,10,10,10,35,17,41.0,0.00,6,,165,8.0,-1.0
31,31,2008-2-1,36,27,18,27,23,12,92,70,47,30.12,29.95,29.84,10,6,0,33,8,41.0,0.12,7,Fog-Snow,206,0.0,1.0
32,32,2008-2-2,31,24,16,19,17,12,84,69,53,30.09,29.99,29.73,10,10,10,21,10,25.0,0.00,6,,175,-5.0,-1.0
33,33,2008-2-3,39,34,29,30,28,18,92,73,53,29.68,29.47,29.33,10,6,1,36,18,43.0,0.09,8,Snow,191,8.0,2.0
34,34,2008-2-4,31,24,16,27,22,12,92,78,63,30.22,29.89,29.62,10,6,1,17,8,21.0,0.04,7,Snow,332,-8.0,-1.0
35,35,2008-2-5,27,17,7,17,12,6,88,72,55,30.44,30.35,30.23,10,10,10,14,4,16.0,0.00,3,,37,-4.0,-4.0
36,36,2008-2-6,31,26,20,22,17,12,88,69,49,30.33,30.19,30.04,10,6,0,18,7,23.0,0.04,7,Fog-Snow,126,4.0,4.0
37,37,2008-2-7,42,33,23,31,23,12,85,71,57,30.29,30.07,29.91,10,9,2,28,13,35.0,T,7,Rain-Snow,145,11.0,0.0
38,38,2008-2-8,40,32,24,23,20,18,81,65,48,30.26,30.21,30.14,10,10,10,21,9,25.0,0.00,5,,170,-2.0,-2.0
39,39,2008-2-9,45,38,31,29,25,21,75,62,49,30.37,30.31,30.23,10,10,10,13,8,15.0,0.00,5,,143,5.0,0.0
40,40,2008-2-10,49,39,29,32,27,23,85,65,45,30.32,30.24,30.16,10,10,7,16,8,18.0,0.00,3,,154,4.0,-2.0
41,41,2008-2-11,47,39,30,30,28,24,85,65,45,30.29,30.22,30.14,10,10,8,17,6,21.0,0.00,4,,337,-2.0,1.0
42,42,2008-2-12,48,40,32,34,29,26,82,64,45,30.38,30.26,30.07,10,10,10,14,6,12.0,0.00,5,,144,1.0,1.0
43,43,2008-2-13,43,35,27,36,30,23,100,78,55,30.0,29.7,29.57,10,6,0,22,12,,0.16,6,Snow,304,-5.0,1.0
44,44,2008-2-14,35,27,18,27,18,13,100,69,38,30.19,29.88,29.62,10,8,1,14,9,15.0,0.11,5,Snow,314,-8.0,-1.0
45,45,2008-2-15,31,23,15,20,15,10,81,67,53,30.38,30.34,30.2,10,10,10,12,4,14.0,0.00,0,,194,-4.0,-5.0
46,46,2008-2-16,37,28,18,23,18,13,75,62,48,30.32,30.25,30.17,10,9,6,14,6,16.0,0.00,4,,135,6.0,4.0
47,47,2008-2-17,37,30,22,26,22,18,88,72,56,30.29,30.23,30.14,10,9,5,10,5,14.0,0.00,3,,347,0.0,-1.0
48,48,2008-2-18,41,32,22,25,21,17,81,66,50,30.32,30.28,30.24,10,10,9,13,6,15.0,0.00,1,,118,4.0,-2.0
49,49,2008-2-19,42,32,22,28,21,17,81,65,49,30.24,30.16,30.07,10,10,8,12,5,13.0,0.00,2,,163,1.0,1.0
50,50,2008-2-20,39,31,23,31,27,19,89,77,64,30.05,29.96,29.88,10,6,2,9,3,12.0,0.02,8,Rain-Snow,330,-3.0,6.0
51,51,2008-2-21,42,36,30,32,29,27,92,81,70,29.96,29.91,29.86,7,2,0,7,2,8.0,0.17,7,Fog-Snow,139,3.0,-1.0
52,52,2008-2-22,43,37,30,36,32,28,92,83,73,29.86,29.79,29.73,10,8,0,20,8,23.0,T,7,Fog-Rain,172,1.0,0.0
53,53,2008-2-23,44,38,31,36,31,28,92,77,62,30.09,29.96,29.8,10,5,1,18,4,22.0,0.06,7,Rain-Snow,186,1.0,0.0
54,54,2008-2-24,54,44,33,37,33,27,96,70,44,30.0,29.87,29.74,10,9,2,38,16,48.0,0.30,7,Rain-Snow,176,10.0,0.0
55,55,2008-2-25,47,40,33,36,34,30,92,76,60,30.39,30.22,30.03,10,10,5,21,5,23.0,0.13,7,Rain,148,-7.0,0.0
56,56,2008-2-26,49,39,29,36,30,27,92,73,53,30.52,30.44,30.39,10,9,0,13,4,15.0,0.00,3,Fog,162,2.0,-4.0
57,57,2008-2-27,52,40,28,35,29,25,92,67,41,30.4,30.24,30.11,10,10,4,13,4,16.0,0.00,5,,148,3.0,2.0
58,58,2008-2-28,51,41,30,35,31,27,92,71,50,30.25,30.17,30.12,10,10,10,10,3,17.0,0.00,2,,316,-1.0,-3.0
59,59,2008-2-29,58,45,31,40,31,24,89,60,30,30.27,30.19,30.07,10,9,5,14,5,16.0,0.00,3,,183,7.0,1.0
60,60,2008-3-1,61,45,28,36,30,25,92,60,27,30.05,29.95,29.7,10,6,0,36,14,44.0,0.35,6,Fog-Rain-Snow,57,3.0,3.0
61,61,2008-3-2,39,32,25,27,23,19,85,67,48,30.45,30.25,30.04,10,10,2,24,11,30.0,T,4,Snow,347,-22.0,-2.0
62,62,2008-3-3,43,34,24,21,17,13,81,55,29,30.49,30.33,30.01,10,10,10,20,9,26.0,0.00,4,,173,4.0,0.0
63,63,2008-3-4,41,34,27,23,19,14,75,56,37,30.11,30.04,29.94,10,10,10,26,10,32.0,0.00,4,,332,-2.0,0.0
64,64,2008-3-5,40,32,24,25,22,19,88,68,48,30.29,30.22,30.12,10,10,10,16,6,20.0,0.00,4,,332,-1.0,0.0
65,65,2008-3-6,43,34,25,23,19,16,81,59,36,30.4,30.33,30.28,10,10,10,14,5,18.0,0.00,2,,199,3.0,-2.0
66,66,2008-3-7,50,39,27,27,20,18,69,49,29,30.43,30.29,30.12,10,10,10,12,5,15.0,0.00,4,,160,7.0,2.0
67,67,2008-3-8,48,41,33,35,32,25,85,70,55,30.12,30.05,30.0,10,10,10,21,9,25.0,0.04,6,Rain,359,-2.0,2.0
68,68,2008-3-9,49,39,28,32,28,25,92,67,42,30.32,30.27,30.14,10,10,10,13,5,17.0,0.00,2,,285,1.0,-4.0
69,69,2008-3-10,54,42,30,27,25,22,78,57,35,30.41,30.36,30.32,10,10,10,10,5,16.0,0.00,2,,131,5.0,0.0
70,70,2008-3-11,60,47,34,35,28,24,69,48,27,30.33,30.23,30.11,10,10,10,16,8,20.0,0.00,4,,143,6.0,2.0
71,71,2008-3-12,54,45,36,34,25,15,76,50,24,30.12,30.06,29.97,10,10,10,15,5,18.0,0.00,5,,138,-6.0,1.0
